pos	gene	strand	head.reads	ratio1_1											
144442	MMP0137	+	26	1.838683											
144452	MMP0137	+	6	1.193542											
144576	MMP0137	+	7	1.874891											
148259	MMP0139	+	21	2.61526											
150587	MMP0141	-	8	1.666611											
150596	MMP0141	-	71	3.028513											
150605	MMP0141	-	58	1.246807											
154179	MMP0144	-	17	2.214199											
159790	MMP0149	-	7	1.076922											
159966	MMP0148	+	32	1.169311											
159974	MMP0148	+	57	1.575752											
160113	MMP0148	+	12	1.239995											
161769	MMP0151	+	919	1.567985											
161774	MMP0151	+	168	1.238298											
161780	MMP0151	+	89	1.164206											
161792	MMP0151	+	105	1.340908											
161806	MMP0151	+	38	1.217142											
161822	MMP0151	+	16	1.216213											
161829	MMP0151	+	13	1.240736											
163486	MMP0152	+	10	1.135133											
163489	MMP0152	+	36	2.161253											
163494	MMP0152	+	8	1.42103											
163911	MMP0153	-	17	2.062434											
167318	MMP0155	+	98	1.399998											
167320	MMP0155	+	25	1.125628											
167323	MMP0155	+	35	1.233332											
167327	MMP0155	+	32	1.355552											
167334	MMP0155	+	8	1.119401											
167342	MMP0155	+	6	1.119998											
167365	MMP0155	+	6	1.149996											
168058	MMP0156	+	16	1.14035											
168387	MMP0157	+	11	1.102803											
168962	MMP0160	-	113	1.061681											
169092	MMP0158	+	1680	1.732026											
169095	MMP0158	+	324	1.3375											
169100	MMP0158	+	219	1.4269											
169152	MMP0159	+	24	1.139534											
169166	MMP0159	+	19	1.146153											
172156	MMP0162	+	51	1.749989											
173076	MMP0164	-	187	1.371769											
173135	MMP0163	+	357	1.619791											
173147	MMP0163	+	41	1.105943											
179418	MMP0170	+	6	1.23999											
179450	MMP0170	+	6	1.315773											
181549	MMP0174	-	11	1.458314											
181601	MMP0174	-	10	1.151513											
181790	MMP0173	+	12	1.181815											
183645	MMP0176	-	34	1.303569											
183658	MMP0176	-	95	1.565473											
183664	MMP0176	-	70	1.248226											
183875	MMP0175	+	9	1.081817											
186676	MMP0178	-	7	7001											
190553	MMP0180	-	18	2.636215											
190605	MMP0180	-	8	1.205123											
190614	MMP0180	-	36	1.57142											
191175	MMP0181	-	17	2.133258											
191178	MMP0181	-	76	3.171367											
191187	MMP0181	-	218	2.197796											
191950	MMP0182	-	11	1.523785											
191969	MMP0182	-	47	1.903829											
192338	MMP0183	-	7	1.26922											
192341	MMP0183	-	28	1.71793											
192343	MMP0183	-	10	1.140843											
192361	MMP0183	-	17	1.161903											
192369	MMP0183	-	76	1.51351											
195175	MMP0186	+	9	1.103447											
195184	MMP0186	+	12	1.164381											
195185	MMP0187	-	8	1.177774											
195192	MMP0186	+	11	1.192979											
195193	MMP0187	-	11	1.171872											
195196	MMP0187	-	11	1.126435											
195238	MMP0186	+	15	1.205477											
195328	MMP0186	+	7	1.114752											
197541	MMP0188	+	23	1.499989											
197700	MMP0188	+	314	1.457725											
197723	MMP0188	+	50	1.136986											
197732	RNA_9	+	71	1.318384											
198553	MMP0189	+	58	2.870907											
198616	MMP0190	-	6	1.272715											
201933	MMP0192	+	11	2.374828											
203390	MMP0194	+	51	1.307227											
203398	MMP0194	+	47	1.734364											
203404	MMP0194	+	8	1.285704											
203407	MMP0194	+	6	1.428541											
203430	MMP0194	+	7	7.993007											
212038	MMP0204	+	47	2.958252											
213403	MMP0205	+	59	1.737491											
213412	MMP0205	+	6	1.124997											
213415	MMP0205	+	17	1.629606											
216519	MMP0209	-	8	1.347811											
218172	MMP0210	+	8	1.380934											
218807	MMP0212	-	7	1.304335											
218836	MMP0212	-	10	1.285706											
218839	MMP0212	-	10	1.188676											
218848	MMP0212	-	106	2.049495											
221514	MMP0214	-	9	1.562465											
222636	MMP0215	+	18	1.132352											
222639	MMP0215	+	18	1.159291											
222646	MMP0215	+	11	1.118278											
222649	MMP0215	+	10	1.123455											
222651	MMP0215	+	34	1.739114											
222659	MMP0215	+	13	1.649968											
227262	MMP0219	+	34	1.894713											
228851	MMP0220	+	6	1.111109											
228870	MMP0220	+	14	1.933271											
228903	MMP0220	+	7	4.498251											
230579	MMP0221	+	103	3.288838											
230589	MMP0221	+	7	1.388867											
230856	MMP0222	+	10	1.454525											
232431	MMP0224	+	59	1.655548											
232475	MMP0224	+	16	1.280697											
234247	MMP0227	-	7	1.388867											
234254	MMP0227	-	17	1.515136											
234261	MMP0227	-	16	1.285709											
234273	MMP0227	-	13	1.126212											
237961	MMP0229	-	62	2.068947											
237999	MMP0228	+	11	1.115788											
238057	MMP0228	+	10	1.114941											
238745	MMP0230	-	6	1.749906											
238755	MMP0230	-	17	1.944392											
241456	MMP0233	+	10	1.384601											
242678	MMP0234	+	71	1.518244											
242684	MMP0234	+	18	1.290318											
242687	MMP0234	+	7	1.137252											
242697	MMP0234	+	7	1.184206											
242706	MMP0234	+	8	1.275853											
243548	MMP0235	+	230	2.631194											
243557	MMP0235	+	22	1.239128											
243654	MMP0235	+	6	1.109089											
243683	MMP0235	+	7	1.134613											
244413	MMP0237	+	15	1.10067											
244497	MMP0237	+	16	1.20779											
244502	MMP0237	+	7	1.109373											
244511	MMP0237	+	17	1.548369											
245811	MMP0239	+	6	1.666593											
248202	MMP0241	+	50	1.396822											
248209	MMP0241	+	9	1.107142											
248247	MMP0241	+	7	1.10294											
248250	MMP0241	+	10	1.188676											
249769	MMP0245	-	7	1.122805											
249774	MMP0245	-	26	1.273681											
249779	MMP0245	-	326	2.461877											
250381	MMP0247	-	8	1.380934											
250384	MMP0247	-	7	1.194439											
250766	MMP0248	-	30	1.340905											
250958	MMP0249	-	7	1.14583											
251086	MMP0249	-	9	1.230763											
251096	MMP0249	-	12	1.272721											
251099	MMP0249	-	44	1.687489											
251101	MMP0249	-	25	1.223212											
251104	MMP0249	-	46	1.321676											
251109	MMP0249	-	232	1.625335											
251118	MMP0249	-	211	1.25119											
251276	MMP0250	-	11	1.114582											
251369	MMP0250	-	13	1.168829											
251393	MMP0250	-	37	1.42045											
253587	MMP0252	+	346	1.285008											
253592	MMP0252	+	412	1.698304											
257411	MMP0254	+	6	1.315773											
258136	MMP0256	-	9	1.130433											
258230	MMP0256	-	21	1.209998											
258241	MMP0256	-	37	1.232703											
258246	MMP0256	-	29	1.143564											
258306	MMP0255	+	16	1.08											
259576	MMP0258	-	16	4.19936											
259581	MMP0258	-	338	2.564808											
259589	MMP0258	-	1915	1.614373											
259836	MMP0259	-	8	1.150941											
259899	MMP0259	-	9	1.105881											
260901	MMP0260	-	10	1.112358											
260928	MMP0260	-	20	1.183485											
260974	MMP0260	-	19	1.133802											
261790	MMP0261	-	16	1.421042											
261811	MMP0261	-	67	1.644225											
264952	MMP0263	+	17	2.133258											
265924	MMP0264	+	34	1.849979											
266375	MMP0266	-	12	1.413779											
266381	MMP0266	-	7	1.166663											
270025	MMP0270	-	18	1.529396											
274289	MMP0274	+	31	1.303919											
274295	MMP0274	+	33	1.62263											
274311	MMP0274	+	8	1.39998											
277177	MMP0276	-	12	1.571401											
277185	MMP0276	-	9	1.214281											
278294	MMP0277	-	26	1.812475											
278324	MMP0277	-	12	1.139533											
278335	MMP0277	-	12	1.107142											
280213	MMP0278	+	7	1.26922											
281485	MMP0280	+	73	1.532843											
281492	MMP0280	+	9	1.101122											
281495	MMP0280	+	25	1.555543											
281508	MMP0280	+	9	1.999889											
283366	MMP0282	-	20	1.384608											
283495	MMP0281	+	10	1.142855											
284515	MMP0283	+	11	1.144735											
284520	MMP0283	+	12	1.193545											
286563	MMP0284	+	11	1.224485											
288095	MMP0285	+	28	1.233331											
288174	MMP0285	+	17	1.141665											
288195	MMP0285	+	20	1.22727											
288227	MMP0285	+	12	1.260864											
288286	MMP0286	+	6	1.193542											
289088	MMP0287	+	13	1.206346											
289094	MMP0287	+	21	1.636344											
289238	MMP0287	+	8	1.258056											
289837	MMP0289	-	7	1.189184											
289843	MMP0289	-	9	1.195648											
289850	MMP0289	-	57	1.87691											
291623	MMP0290	+	63	1.112299											
291632	MMP0290	+	96	1.268907											
291642	MMP0290	+	72	1.685708											
291649	MMP0290	+	7	1.162787											
291652	MMP0290	+	7	1.212115											
291721	MMP0290	+	10	1.416649											
292917	MMP0292	-	44	1.338459											
293083	MMP0291	+	76	1.406415											
293197	MMP0291	+	9	1.199996											
295153	MMP0294	+	60	1.41379											
295158	MMP0294	+	19	1.189998											
295207	MMP0294	+	19	1.44185											
295243	MMP0294	+	8	1.533298											
296273	MMP0295	+	91	1.999989											
296282	MMP0295	+	7	1.114752											
297286	MMP0297	-	10	1.35713											
297294	MMP0297	-	69	2.277754											
297313	MMP0297	-	31	1.116981											
297317	MMP0297	-	45	1.133928											
298616	MMP0298	+	618	1.318065											
298621	MMP0298	+	451	1.429115											
298642	MMP0298	+	64	1.101587											
298668	MMP0298	+	269	2.325117											
298675	MMP0298	+	26	1.265303											
300695	MMP0300	+	6	1.333315											
300924	MMP0301	+	15	1.319142											
300929	MMP0301	+	22	2.047569											
301413	MMP0303	-	34	1.216559											
301422	MMP0303	-	69	1.316512											
301432	MMP0303	-	100	1.255754											
301474	MMP0302	+	82	1.166328											
301628	MMP0302	+	44	1.309857											
301645	MMP0302	+	37	1.6981											
301650	MMP0302	+	6	1.153842											
306567	MMP0309	+	207	2.784467											
306575	MMP0309	+	25	1.409829											
306577	MMP0309	+	9	1.18367											
306589	MMP0309	+	15	1.833287											
307745	MMP0311	+	6	1.222214											
308626	MMP0313	+	33	1.108911											
308642	MMP0313	+	94	2.044433											
308683	MMP0313	+	33	2.941062											
314151	MMP0317	+	425	2.914406											
314152	MMP0318	-	18	1.127659											
314164	MMP0317	+	27	1.178807											
314165	MMP0318	-	103	1.578648											
315906	MMP0319	-	8	1.571388											
318348	MMP0321	+	6	1.499958											
319563	MMP0323	-	9	1.0989											
319655	MMP0322	+	24	1.26966											
319663	MMP0322	+	18	1.281246											
319691	MMP0322	+	8	1.173909											
321127	MMP0325	-	13	1.928505											
321133	MMP0325	-	10	1.204077											
321139	MMP0325	-	122	2.326073											
324442	MMP0326	+	48	1.872711											
324453	MMP0326	+	12	1.413779											
324459	MMP0326	+	10	2.110988											
326055	MMP0327	+	30	1.588224											
326097	MMP0327	+	13	2.444284											
327273	MMP0329	+	6	1.499958											
327787	MMP0331	-	12	1.23529											
328103	MMP0330	+	15	1.319142											
331418	MMP0333	+	25	1.324671											
331454	MMP0333	+	11	1.407392											
332816	MMP0335	+	221	2.347553											
332841	MMP0335	+	14	1.148935											
335564	MMP0339	+	14111	4.590584											
335570	MMP0339	+	338	1.110026											
335574	MMP0339	+	367	1.15915											
335576	MMP0339	+	545	1.344065											
335583	RNA_10	+	293	1.324474											
335668	RNA_11	+	33	1.032836											
335669	RNA_10	+	579	2.359152											
335670	RNA_11	+	33	1.083969											
335673	RNA_11	+	9	1.024931											
335677	RNA_10	+	156	2.659557											
335678	RNA_11	+	8	1.093022											
335680	RNA_10	+	15	1.227269											
335688	RNA_10	+	24	1.749977											
335731	RNA_10	+	6	1.285701											
339231	MMP0341	+	47	1.391663											
339236	MMP0341	+	6	1.13333											
339239	MMP0341	+	6	1.153842											
339302	MMP0341	+	130	1.110827											
339321	MMP0341	+	1126	9.100661											
339325	MMP0341	+	15	1.197366											
339328	MMP0341	+	15	1.299994											
339330	MMP0341	+	8	1.190472											
339404	RNA_12	+	7	1.437473											
339410	RNA_12	+	7	2.166472											
339804	MMP0343	-	9	1.391287											
340550	MMP0344	-	9	2.49975											
340553	MMP0344	-	20	1.833299											
340560	MMP0344	-	123	1.904405											
340565	MMP0344	-	33	1.116197											
341574	MMP0345	-	6	1.85702											
342431	MMP0346	-	6	2.19976											
342435	MMP0346	-	44	4.384355											
343771	MMP0347	-	11	1.785658											
343787	MMP0347	-	7	1.205876											
344200	MMP0348	-	53	2.324967											
344899	MMP0349	-	13	1.928505											
344916	MMP0349	-	7	1.194439											
346608	MMP0350	+	10	1.476168											
347584	MMP0351	+	11	3.19956											
349789	MMP0353	+	10	1.294109											
350850	MMP0355	-	12	1.399987											
350856	MMP0355	-	12	1.214282											
351228	MMP0354	+	6	1.222214											
355866	MMP0359	-	7	1.170728											
357881	MMP0360	+	6	1.136361											
359508	MMP0363	-	7	1.279989											
364283	MMP0366	+	6	1.666593											
366972	MMP0369	+	807	5.055256											
366978	MMP0369	+	35	1.402294											
366986	MMP0369	+	10	1.212761											
368425	MMP0370	+	94	1.789909											
368431	MMP0370	+	18	1.374992											
369145	MMP0372	-	8	1.258056											
369171	MMP0372	-	169	2.024236											
369180	MMP0372	-	1841	3.497961											
370610	MMP0373	+	59	1.189102											
370623	MMP0373	+	26	1.111588											
370632	MMP0373	+	102	2.291123											
370696	MMP0373	+	7	1.184206											
372673	MMP0375	+	13	1.144443											
372675	MMP0375	+	10	1.133332											
381394	MMP0382	+	25	1.694425											
381530	MMP0382	+	8	1.222216											
383571	MMP0383	+	13992	3.958139											
383574	MMP0383	+	595	1.196499											
383577	MMP0383	+	235	1.104724											
383581	MMP0383	+	748	1.534285											
383584	MMP0383	+	540	5.122106											
383589	MMP0383	+	19	1.327581											
383616	MMP0383	+	6	1.193542											
383755	RNA_33	-	10	1.476168											
383760	RNA_33	-	17	1.346932											
383764	RNA_33	-	11	1.148647											
384043	MMP0384	-	26	2.368349											
384051	MMP0384	-	10	1.153844											
384354	MMP0385	-	22	1.709655											
385120	MMP0386	-	8	1.119401											
385127	MMP0386	-	33	1.347365											
385135	MMP0386	-	785	4.617495											
385140	MMP0386	-	1214	1.778704											
385150	MMP0386	-	7849	2.187263											
386269	MMP0388	-	15	1.112781											
386295	MMP0388	-	24	1.14035											
386312	MMP0388	-	50	1.224214											
386329	MMP0387	+	69	1.403506											
386467	MMP0387	+	27	1.183672											
388423	MMP0391	-	48	5.36324											
388434	MMP0391	-	11	1.142855											
388443	MMP0391	-	74	1.637926											
389674	MMP0392	-	7	4.498251											
391219	MMP0393	-	8	1.210521											
391222	MMP0393	-	6	1.122446											
391227	MMP0393	-	24	1.444436											
391239	MMP0393	-	17	1.139343											
391750	MMP0394	-	6	1.299985											
391796	MMP0394	-	8	1.333319											
391813	MMP0394	-	18	1.399991											
394432	MMP0396	+	60	1.12931											
394439	MMP0396	+	89	1.351777											
394442	MMP0396	+	50	1.299399											
394450	MMP0396	+	19	1.243587											
394452	MMP0396	+	8	1.117645											
394457	MMP0396	+	7	1.12727											
394469	MMP0396	+	6	1.153842											
394478	MMP0396	+	10	1.624961											
397298	MMP0397	+	71	2.203369											
399169	MMP0399	+	25	5.165972											
399748	MMP0400	+	65	2.140331											
399754	MMP0400	+	7	1.388867											
400702	MMP0401	+	8	1.333319											
400850	MMP0401	+	6	1.23999											
402114	MMP0402	+	15	1.174417											
402118	MMP0402	+	19	1.422213											
405331	MMP0405	+	79	1.17713											
405334	MMP0405	+	175	1.802749											
405340	MMP0405	+	13	1.102361											
405396	MMP0405	+	51	2.040795											
405403	MMP0405	+	7	1.199994											
405951	MMP0407	-	53	1.929808											
405954	MMP0407	-	21	1.182607											
405959	MMP0407	-	97	1.373075											
406106	MMP0407	-	16	1.313719											
406248	MMP0406	+	13	1.101562											
407612	MMP0409	-	8	1.266658											
407657	MMP0408	+	10	1.384601											
409784	MMP0411	-	9	1.562465											
409792	MMP0411	-	7	1.218743											
409829	MMP0411	-	8	1.159997											
414049	MMP0414	-	7	1.148933											
414056	MMP0413	+	21	1.807661											
414058	MMP0414	-	90	2.475386											
417972	MMP0415	+	7	1.194439											
420345	MMP0418	+	13	1.162498											
420348	MMP0418	+	8	1.11594											
420358	MMP0418	+	26	1.787855											
420374	MMP0418	+	12	2.499813											
420522	MMP0418	+	8	1.170209											
422135	MMP0419	+	233	1.835122											
422145	MMP0419	+	16	1.24615											
422169	MMP0419	+	7	1.194439											
423280	MMP0420	+	28	2.036999											
424214	MMP0421	+	8	1.163262											
424216	MMP0421	+	10	1.263151											
424279	MMP0421	+	6	1.187494											
424319	MMP0421	+	6	1.181813											
424685	MMP0422	+	23	1.154361											
424715	MMP0422	+	25	1.641009											
426217	MMP0423	+	8	1.135591											
426256	MMP0423	+	9	1.290313											
426267	MMP0424	-	12	1.461521											
426273	MMP0424	-	6	1.142854											
428171	MMP0427	-	6	1.399973											
428173	MMP0427	-	6	1.272715											
428179	MMP0426	+	6	1.146338											
428180	MMP0427	-	45	2.406206											
428193	MMP0427	-	15	1.123966											
429247	MMP0428	-	34	1.871773											
430938	MMP0429	+	90	1.204081											
430941	MMP0429	+	159	1.82383											
430947	MMP0429	+	31	1.256196											
430952	MMP0429	+	12	1.148146											
430957	MMP0429	+	21	1.381811											
431685	MMP0430	+	18	1.439014											
431708	MMP0431	-	33	1.659987											
434478	MMP0434	-	6	1.13333											
434482	MMP0434	-	62	2.016377											
434523	MMP0433	+	13	1.129999											
434634	MMP0433	+	8	1.12121											
439500	MMP0439	+	11	1.154927											
439522	MMP0439	+	6	1.146338											
439566	MMP0439	+	7	1.166663											
439634	MMP0439	+	8	1.285704											
439647	MMP0439	+	6	1.35292											
439655	MMP0439	+	6	1.59994											
440226	MMP0440	+	37	1.506842											
440231	MMP0440	+	8	1.15686											
