Strand,Position,TTS categories,S2_head.reads,▽aCPSF1_head.reads
+,73599,Secondary,98,54
+,73603,Secondary,56,14
+,73607,Secondary,23,-1
+,73648,Secondary,26,55
-,73596,Primary,65,2
-,74134,Primary,503,573
-,74066,Secondary,16,32
-,74076,Secondary,6,4
-,74104,Secondary,22,29
-,74111,Secondary,13,18
-,74113,Secondary,19,2
-,74124,Secondary,35,4
-,75110,Primary,89,71
-,75055,Secondary,38,66
-,75101,Secondary,23,11
+,76379,Primary,66,37
+,76388,Secondary,57,30
+,76401,Secondary,39,87
+,76430,Secondary,10,21
+,78406,Primary,131,36
+,78414,Secondary,16,2
+,78822,Primary,194,280
+,78815,Secondary,87,139
+,78829,Secondary,36,47
+,78831,Secondary,9,52
+,78833,Secondary,10,15
+,78838,Secondary,11,93
+,78841,Secondary,12,21
+,80648,Primary,16,22
+,80623,Secondary,6,0
+,81066,Primary,453,271
+,82260,Primary,17,1199
-,82574,Primary,17,1
-,82516,Secondary,6,14
-,82526,Secondary,12,254
+,84858,Primary,14,6
+,86193,Primary,84,29
+,86201,Secondary,38,14
+,86203,Secondary,9,5
+,86206,Secondary,14,5
+,86226,Secondary,16,60
-,87503,Primary,7699,15377
-,87414,Secondary,209,297
-,87492,Secondary,618,67
-,87495,Secondary,766,141
+,88729,Primary,18,12
-,88550,Primary,18,13
-,88596,Secondary,15,12
+,90377,Primary,47,11
+,90424,Secondary,9,0
+,90531,Secondary,18,40
+,91765,Primary,14,8
+,91664,Secondary,10,17
+,95095,Primary,298,184
+,95107,Secondary,33,4
+,95122,Secondary,12,10
+,95128,Secondary,16,3
+,95130,Secondary,10,8
-,97056,Primary,33,123
-,97728,Primary,37,26
-,97665,Secondary,6,7
-,97676,Secondary,6,4
-,97736,Secondary,12,2
-,100124,Primary,9,48
-,101827,Primary,95,515
-,101750,Secondary,12,16
-,101758,Secondary,9,28
-,101779,Secondary,33,248
-,101782,Secondary,33,235
-,102506,Primary,139,110
-,102387,Secondary,11,69
-,102421,Secondary,10,76
-,102467,Secondary,8,0
-,102484,Secondary,82,50
-,102873,Primary,440,173
-,102799,Secondary,13,25
-,102857,Secondary,79,30
-,102863,Secondary,44,6
-,102867,Secondary,43,11
-,103224,Primary,15,32
-,103187,Secondary,13,90
-,103264,Secondary,10,15
+,105953,Primary,20,19
+,105913,Secondary,13,7
+,105922,Secondary,11,4
-,105883,Primary,12,14
-,107759,Primary,971,632
-,107629,Secondary,6,7
-,107654,Secondary,25,26
-,107748,Secondary,96,3
-,109266,Primary,69,28
-,109262,Secondary,13,1
+,111759,Primary,14,7
+,112903,Primary,11453,2704
+,112751,Secondary,78,48
+,112756,Secondary,23,14
+,112777,Secondary,46,42
+,114416,Primary,10,4
+,114550,Secondary,6,0
+,115028,Primary,96,34
+,115031,Secondary,32,13
+,115084,Secondary,10,10
+,116250,Primary,7,14
+,117403,Primary,10,31
+,120016,Primary,6,3
-,120506,Primary,14,3
+,124108,Primary,24,15
+,124115,Secondary,18,11
+,124121,Secondary,7,1
+,125221,Primary,21,23
+,125233,Secondary,13,3
+,130258,Primary,147,42
+,130269,Secondary,12,3
+,130332,Secondary,16,14
+,130334,Secondary,7,3
-,130862,Primary,27,8
-,130944,Secondary,9,9
-,133593,Primary,193,552
-,133587,Secondary,29,1
-,134963,Primary,9,5
+,137203,Primary,28,4
+,139417,Primary,83,22
-,139419,Primary,226,269
-,139355,Secondary,25,74
+,141453,Primary,57,154
+,141456,Secondary,37,65
+,141460,Secondary,9,17
+,141464,Secondary,26,15
+,143008,Primary,15,9
+,142865,Secondary,6,1
+,142900,Secondary,7,12
+,143392,Primary,217,53
+,143396,Secondary,32,-3
+,143400,Secondary,8,0
+,143402,Secondary,10,14
+,144442,Primary,26,49
+,144452,Secondary,6,-1
+,144576,Secondary,7,6
+,148259,Primary,21,84
-,150596,Primary,71,54
-,150587,Secondary,8,0
-,150605,Secondary,58,68
-,154179,Primary,17,184
+,159974,Primary,57,4
+,159966,Secondary,32,2
+,160113,Secondary,12,2
+,161769,Primary,919,923
+,161774,Secondary,168,186
+,161780,Secondary,89,53
+,161792,Secondary,105,101
+,161806,Secondary,38,30
+,161822,Secondary,16,23
+,161829,Secondary,13,24
+,163489,Primary,36,206
+,163486,Secondary,10,117
+,163494,Secondary,8,119
-,163911,Primary,17,3
+,167318,Primary,98,47
+,167320,Secondary,25,31
+,167323,Secondary,35,42
+,167327,Secondary,32,42
+,167334,Secondary,8,9
+,167342,Secondary,6,9
+,167365,Secondary,6,-1
+,168058,Primary,16,27
+,168387,Primary,11,25
+,169092,Primary,1680,1288
+,169152,Primary,24,35
+,169095,Secondary,324,250
+,169100,Secondary,219,53
+,169166,Secondary,19,13
+,172156,Primary,51,25
+,173135,Primary,357,166
+,173147,Secondary,41,8
-,173076,Primary,187,205
+,179418,Primary,6,1
+,179450,Secondary,6,0
+,181790,Primary,12,5
-,181549,Primary,11,33
-,181601,Secondary,10,1
-,183658,Primary,95,79
-,183645,Secondary,34,11
-,183664,Secondary,70,57
-,186676,Primary,7,0
-,190614,Primary,36,21
-,190553,Secondary,18,12
-,190605,Secondary,8,3
-,191187,Primary,218,76
-,191175,Secondary,17,-1
-,191178,Secondary,76,31
-,191969,Primary,47,19
-,191950,Secondary,11,6
-,192369,Primary,76,54
-,192338,Secondary,7,7
-,192341,Secondary,28,53
-,192343,Secondary,10,7
-,192361,Secondary,17,6
+,195238,Primary,15,6
+,195175,Secondary,9,4
+,195184,Secondary,12,5
+,195192,Secondary,11,-1
+,195328,Secondary,7,6
-,195193,Primary,11,15
-,195185,Secondary,8,-5
-,195196,Secondary,11,7
+,197700,Primary,314,129
+,197541,Secondary,23,33
+,198553,Primary,58,25
-,198616,Primary,6,11
+,201933,Primary,11,143
+,203390,Primary,51,17
+,203398,Secondary,47,38
+,203404,Secondary,8,5
+,203407,Secondary,6,0
+,203430,Secondary,7,6
+,212038,Primary,47,50
+,213403,Primary,59,28
+,213412,Secondary,6,9
+,213415,Secondary,17,7
-,216519,Primary,8,5
+,218172,Primary,8,1
-,218848,Primary,106,42
-,218807,Secondary,7,2
-,218836,Secondary,10,6
-,218839,Secondary,10,-1
-,221514,Primary,9,10
+,222651,Primary,34,7
+,222636,Secondary,18,3
+,222639,Secondary,18,4
+,222646,Secondary,11,5
+,222649,Secondary,10,0
+,222659,Secondary,13,7
+,227262,Primary,34,27
+,228870,Primary,14,9
+,228851,Secondary,6,10
+,228903,Secondary,7,4
+,230579,Primary,103,42
+,230589,Secondary,7,0
+,230856,Primary,10,2
+,232431,Primary,59,32
+,232475,Secondary,16,3
-,234254,Primary,17,174
-,234247,Secondary,7,7
-,234261,Secondary,16,60
-,234273,Secondary,13,11
+,237999,Primary,11,3
+,238057,Secondary,10,5
-,237961,Primary,62,35
-,238755,Primary,17,9
-,238745,Secondary,6,-1
+,241456,Primary,10,8
+,242678,Primary,71,12
+,242684,Secondary,18,10
+,242687,Secondary,7,0
+,242697,Secondary,7,4
+,242706,Secondary,8,3
+,243548,Primary,230,70
+,243557,Secondary,22,4
+,243654,Secondary,6,6
+,243683,Secondary,7,24
+,244511,Primary,17,15
+,244413,Secondary,15,3
+,244497,Secondary,16,16
+,244502,Secondary,7,13
+,245811,Primary,6,22
+,248202,Primary,50,40
+,248209,Secondary,9,2
+,248247,Secondary,7,-2
+,248250,Secondary,10,6
-,249779,Primary,326,760
-,249769,Secondary,7,-1
-,249774,Secondary,26,-10
-,250381,Primary,8,3
-,250384,Secondary,7,8
-,250766,Primary,30,47
-,251109,Primary,232,59
-,250958,Secondary,7,5
-,251086,Secondary,9,8
-,251096,Secondary,12,10
-,251099,Secondary,44,34
-,251101,Secondary,25,0
-,251104,Secondary,46,-5
-,251118,Secondary,211,69
-,251393,Primary,37,79
-,251276,Secondary,11,4
-,251369,Secondary,13,55
+,253592,Primary,412,582
+,253587,Secondary,346,334
+,257411,Primary,6,2
-,258241,Primary,37,37
-,258136,Secondary,9,78
-,258230,Secondary,21,20
-,258246,Secondary,29,27
-,259589,Primary,1915,2054
-,259576,Secondary,16,954
-,259581,Secondary,338,25
-,259899,Primary,9,4
-,259836,Secondary,8,-2
-,260928,Primary,20,23
-,260901,Secondary,10,72
-,260974,Secondary,19,26
-,261811,Primary,67,30
-,261790,Secondary,16,5
+,264952,Primary,17,42
+,265924,Primary,34,20
-,266375,Primary,12,12
-,266381,Secondary,7,6
-,270025,Primary,18,1
+,274295,Primary,33,18
+,274289,Secondary,31,18
+,274311,Secondary,8,0
-,277177,Primary,12,9
-,277185,Secondary,9,3
-,278294,Primary,26,5
-,278324,Secondary,12,2
-,278335,Secondary,12,2
+,280213,Primary,7,10
+,281485,Primary,73,36
+,281492,Secondary,9,0
+,281495,Secondary,25,58
+,281508,Secondary,9,28
+,283495,Primary,10,6
-,283366,Primary,20,4
+,284520,Primary,12,5
+,284515,Secondary,11,1
+,286563,Primary,11,5
+,288095,Primary,28,0
+,288174,Secondary,17,8
+,288195,Secondary,20,8
+,288227,Secondary,12,15
+,288286,Primary,6,18
+,289094,Primary,21,11
+,289088,Secondary,13,6
+,289238,Secondary,8,9
-,289850,Primary,57,42
-,289837,Secondary,7,3
-,289843,Secondary,9,1
+,291632,Primary,96,19
+,291623,Secondary,63,63
+,291642,Secondary,72,58
+,291649,Secondary,7,2
+,291652,Secondary,7,-3
+,291721,Secondary,10,8
+,293083,Primary,76,123
+,293197,Secondary,9,36
-,292917,Primary,44,33
+,295153,Primary,60,23
+,295158,Secondary,19,1
+,295207,Secondary,19,16
+,295243,Secondary,8,4
+,296273,Primary,91,56
+,296282,Secondary,7,-1
-,297294,Primary,69,178
-,297286,Secondary,10,50
-,297313,Secondary,31,14
-,297317,Secondary,45,38
+,298616,Primary,618,1229
+,298621,Secondary,451,194
+,298642,Secondary,64,13
+,298668,Secondary,269,742
+,298675,Secondary,26,55
+,300695,Primary,6,2
+,300929,Primary,22,14
+,300924,Secondary,15,1
+,301474,Primary,82,45
+,301628,Secondary,44,31
+,301645,Secondary,37,20
+,301650,Secondary,6,2
-,301432,Primary,100,38
-,301413,Secondary,34,33
-,301422,Secondary,69,74
+,306567,Primary,207,118
+,306575,Secondary,25,-3
+,306577,Secondary,9,10
+,306589,Secondary,15,16
+,307745,Primary,6,8
+,308642,Primary,94,20
+,308626,Secondary,33,7
+,308683,Secondary,33,18
+,314151,Primary,425,475
+,314164,Secondary,27,-28
-,314165,Primary,103,110
-,314152,Secondary,18,-130
-,315906,Primary,8,-2
+,318348,Primary,6,12
+,319655,Primary,24,6
+,319663,Secondary,18,11
+,319691,Secondary,8,4
-,321139,Primary,122,41
-,321127,Secondary,13,5
-,321133,Secondary,10,0
+,324442,Primary,48,13
+,324453,Secondary,12,5
+,324459,Secondary,10,1
+,326055,Primary,30,17
+,326097,Secondary,13,7
+,327273,Primary,6,3
+,328103,Primary,15,6
-,327787,Primary,12,25
+,331418,Primary,25,6
+,331454,Secondary,11,13
+,332816,Primary,221,151
+,332841,Secondary,14,9
+,335564,Primary,14111,4895
+,339321,Primary,1126,166
+,339231,Secondary,47,55
+,339236,Secondary,6,18
+,339239,Secondary,6,4
+,339302,Secondary,130,24
-,339804,Primary,9,16
-,340560,Primary,123,134
-,340550,Secondary,9,13
-,340553,Secondary,20,9
-,340565,Secondary,33,23
-,341574,Primary,6,6
-,342435,Primary,44,28
-,342431,Secondary,6,-1
-,343771,Primary,11,17
-,343787,Secondary,7,11
-,344200,Primary,53,14
-,344899,Primary,13,5
-,344916,Secondary,7,6
+,346608,Primary,10,8
+,347584,Primary,11,12
+,349789,Primary,10,1
+,351228,Primary,6,1
-,350850,Primary,12,16
-,350856,Secondary,12,12
-,355866,Primary,7,10
+,357881,Primary,6,2
-,359508,Primary,7,2
+,364283,Primary,6,3
+,366972,Primary,807,478
+,366978,Secondary,35,27
+,366986,Secondary,10,1
+,368425,Primary,94,63
+,368431,Secondary,18,16
-,369180,Primary,1841,726
-,369145,Secondary,8,1
-,369171,Secondary,169,14
+,370632,Primary,102,140
+,370610,Secondary,59,30
+,370623,Secondary,26,22
+,370696,Secondary,7,6
+,372673,Primary,13,4476
+,372675,Secondary,10,2384
+,381394,Primary,25,6
+,381530,Secondary,8,2
+,383571,Primary,13992,17473
+,383574,Secondary,595,1451
+,383577,Secondary,235,746
+,383581,Secondary,748,1723
+,383584,Secondary,540,659
+,383589,Secondary,19,1
+,383616,Secondary,6,14
-,384043,Primary,26,89
-,384051,Secondary,10,33
-,384354,Primary,22,23
-,385150,Primary,7849,8944
-,385120,Secondary,8,35
-,385127,Secondary,33,120
-,385135,Secondary,785,22
-,385140,Secondary,1214,1662
+,386329,Primary,69,13
+,386467,Secondary,27,5
-,386312,Primary,50,66
-,386269,Secondary,15,8
-,386295,Secondary,24,21
-,388443,Primary,74,127
-,388423,Secondary,48,101
-,388434,Secondary,11,16
-,389674,Primary,7,1
-,391227,Primary,24,14
-,391219,Secondary,8,-1
-,391222,Secondary,6,-1
-,391239,Secondary,17,3
-,391813,Primary,18,29
-,391750,Secondary,6,2
-,391796,Secondary,8,2
+,394439,Primary,89,119
+,394432,Secondary,60,65
+,394442,Secondary,50,103
+,394450,Secondary,19,59
+,394452,Secondary,8,3
+,394457,Secondary,7,10
+,394469,Secondary,6,16
+,394478,Secondary,10,36
+,397298,Primary,71,47
+,399169,Primary,25,40
+,399748,Primary,65,24
+,399754,Secondary,7,3
+,400702,Primary,8,3
+,400850,Secondary,6,2
+,402118,Primary,19,7
+,402114,Secondary,15,2
+,405334,Primary,175,34
+,405331,Secondary,79,21
+,405340,Secondary,13,0
+,405396,Secondary,51,53
+,405403,Secondary,7,3
+,406248,Primary,13,2
-,405959,Primary,97,90
-,405951,Secondary,53,41
-,405954,Secondary,21,9
-,406106,Secondary,16,8
+,407657,Primary,10,2
-,407612,Primary,8,7
-,409784,Primary,9,14
-,409792,Secondary,7,8
-,409829,Secondary,8,1
+,414056,Primary,21,268
-,414058,Primary,90,7
-,414049,Secondary,7,0
+,417972,Primary,7,0
+,420358,Primary,26,6
+,420345,Secondary,13,6
+,420348,Secondary,8,7
+,420374,Secondary,12,3
+,420522,Secondary,8,11
+,422135,Primary,233,77
+,422145,Secondary,16,5
+,422169,Secondary,7,4
+,423280,Primary,28,71
+,424216,Primary,10,31
+,424214,Secondary,8,-2
+,424279,Secondary,6,3
+,424319,Secondary,6,1
+,424715,Primary,25,7
+,424685,Secondary,23,11
+,426256,Primary,9,34
+,426217,Secondary,8,1
-,426267,Primary,12,3
-,426273,Secondary,6,2
+,428179,Primary,6,1
-,428180,Primary,45,48
-,428171,Secondary,6,-2
-,428173,Secondary,6,3
-,428193,Secondary,15,17
-,429247,Primary,34,24
+,430941,Primary,159,85
+,430938,Secondary,90,38
+,430947,Secondary,31,30
+,430952,Secondary,12,8
+,430957,Secondary,21,10
+,431685,Primary,18,43
-,431708,Primary,33,30
+,434523,Primary,13,11
+,434634,Secondary,8,7
-,434482,Primary,62,107
-,434478,Secondary,6,0
+,439500,Primary,11,1
+,439522,Secondary,6,4
+,439566,Secondary,7,9
+,439634,Secondary,8,7
+,439647,Secondary,6,1
+,439655,Secondary,6,-1
+,440226,Primary,37,30
+,440231,Secondary,8,14
+,440236,Secondary,15,6
+,440436,Primary,75,120
+,440441,Secondary,7,19
+,440579,Secondary,28,16
+,441099,Primary,36,112
+,441027,Secondary,21,16
+,441512,Primary,273,127
+,441500,Secondary,267,364
+,441506,Secondary,132,140
+,441517,Secondary,55,26
+,441524,Secondary,25,8
+,441527,Secondary,90,137
+,441537,Secondary,8,3
+,441544,Secondary,9,7
-,442499,Primary,216,239
-,442470,Secondary,17,54
-,442477,Secondary,6,1
-,442488,Secondary,38,33
-,445582,Primary,32,8
-,447659,Primary,8,1
-,447679,Secondary,7,14
+,451881,Primary,107,219
+,451911,Secondary,35,151
+,454118,Primary,781,2100
+,453982,Secondary,10,26
+,454098,Secondary,231,92
+,454987,Primary,367,36
-,462501,Primary,6,6
-,473692,Primary,20,35
+,476399,Primary,30,30
+,476436,Secondary,9,12
+,476445,Secondary,21,56
-,478546,Primary,13,18
-,478538,Secondary,9,1
+,485746,Primary,8,4
-,486352,Primary,32,17
-,486341,Secondary,9,2
-,487165,Primary,13,9
-,487139,Secondary,6,11
-,489215,Primary,8,18
+,501265,Primary,9,3
+,502734,Primary,31,14
+,504477,Primary,41,42
+,504445,Secondary,16,22
+,504474,Secondary,12,2
+,504522,Secondary,7,2
+,507594,Primary,7,4
+,517291,Primary,31,2
+,517289,Secondary,12,4
+,520991,Primary,11,0
+,520983,Secondary,7,1
+,522603,Primary,23,12
+,522658,Secondary,14,1
+,522661,Secondary,7,2
+,522664,Secondary,6,3
-,523552,Primary,8,1
-,529994,Primary,75,19
-,529986,Secondary,8,0
+,532483,Primary,6,15
-,532907,Primary,65,8
-,532821,Secondary,11,8
-,532916,Secondary,29,22
-,533436,Primary,159,280
+,536708,Primary,8,9
+,538311,Primary,15,1
+,538305,Secondary,12,3
+,538998,Primary,18,13
-,539165,Primary,16,8
-,541038,Primary,7,2
-,541030,Secondary,6,0
+,543327,Primary,22,19
+,544944,Primary,41,27
+,544947,Secondary,8,3
+,544951,Secondary,12,1
+,544958,Secondary,7,4
+,545764,Primary,20,9
+,545767,Secondary,7,1
+,545771,Secondary,6,3
+,546469,Primary,14,20
+,546437,Secondary,9,9
+,546502,Secondary,6,6
+,547230,Primary,45,109
+,547856,Primary,16,5
+,548899,Primary,8,12
+,550621,Primary,30,25
+,551449,Primary,13,10
+,551478,Secondary,8,30
+,554010,Primary,19,16
+,554012,Secondary,19,18
+,554018,Secondary,15,28
+,554982,Primary,89,38
+,554987,Secondary,14,3
-,556585,Primary,49,27
-,556611,Secondary,21,15
+,559054,Primary,8,1
+,559067,Secondary,6,-1
+,561232,Primary,124,78
+,561238,Secondary,19,30
+,561242,Secondary,11,3
-,562025,Primary,15,14
-,561960,Secondary,8,2
-,562807,Primary,7,3
-,563218,Primary,26,4
-,565674,Primary,69,62
-,565664,Secondary,7,-1
-,565668,Secondary,18,21
-,571686,Primary,379,277
-,571657,Secondary,10,8
-,571679,Secondary,52,3
-,571684,Secondary,80,82
+,573182,Primary,10,2
-,573498,Primary,129,75
-,573523,Secondary,163,31
-,573532,Primary,1617,1407
-,573806,Primary,55,98
-,573939,Secondary,10,6
-,573947,Secondary,33,28
-,574641,Primary,116,107
-,575053,Primary,21,7
-,575087,Secondary,13,6
+,577831,Primary,10,1
-,578988,Primary,39,64
+,582602,Primary,169,88
+,582569,Secondary,151,57
+,582669,Secondary,11,9
+,582677,Secondary,13,6
+,582700,Secondary,6,42
+,587453,Primary,6,1
-,587316,Primary,18,16
-,588047,Primary,142,81
-,587979,Secondary,7,0
-,588033,Secondary,7,-1
-,588035,Secondary,12,1
-,588039,Secondary,10,0
-,588699,Primary,8,3
+,593358,Primary,20,99
+,593362,Secondary,6,3
+,593498,Secondary,6,20
+,594061,Primary,74,31
+,594068,Secondary,17,5
+,594073,Secondary,30,13
+,595504,Primary,9,18
-,596114,Primary,38,41
-,596095,Secondary,8,7
-,596218,Secondary,29,20
-,596994,Primary,219,276
-,596948,Secondary,9,5
-,596959,Secondary,7,2
-,596961,Secondary,22,20
-,596983,Secondary,18,11
-,596986,Secondary,18,3
+,599301,Primary,12,7
+,599143,Secondary,6,9
+,599226,Secondary,9,10
+,599308,Secondary,8,15
+,599990,Primary,358,121
+,599994,Secondary,27,2
+,600003,Secondary,15,5
+,600012,Secondary,42,6
+,600022,Secondary,8,6
+,600623,Primary,97,83
-,600617,Primary,39,18
-,600624,Secondary,26,-2
-,603086,Primary,12,4
-,602967,Secondary,11,23
+,607101,Primary,24,11
+,607540,Primary,22,4
+,607605,Secondary,18,5
+,607630,Secondary,10,18
+,609102,Primary,26,3
+,609099,Secondary,25,10
+,609112,Secondary,7,1
+,609929,Primary,1007,4451
+,609925,Secondary,293,1288
-,609807,Primary,705,1628
-,609798,Secondary,112,65
+,613376,Primary,7,4
+,615899,Primary,264,138
+,615905,Secondary,11,8
+,615908,Secondary,15,1
+,618826,Primary,384,310
+,618832,Secondary,224,201
+,618836,Secondary,30,6
+,618840,Secondary,14,5
+,618842,Secondary,12,27
-,618875,Primary,1885,3101
-,618846,Secondary,29,56
-,618859,Secondary,40,8
-,618866,Secondary,159,60
-,618870,Secondary,61,120
-,619060,Primary,17,15
-,619210,Secondary,11,1
-,619644,Primary,45,70
+,620651,Primary,22,3
+,620606,Secondary,18,2
+,620649,Secondary,7,1
+,621166,Primary,404,530
+,621174,Secondary,231,595
+,621182,Secondary,39,130
+,621226,Secondary,15,86
+,621254,Secondary,6,27
+,621267,Secondary,7,41
-,621298,Primary,33,17
-,621199,Secondary,6,5
-,621303,Secondary,11,7
+,624311,Primary,20,6
+,624290,Secondary,13,1
+,624317,Secondary,9,3
+,624324,Secondary,7,2
+,625637,Primary,10,5
+,626341,Primary,194,85
+,626400,Secondary,66,22
+,629868,Primary,52,25
+,629875,Secondary,7,2
+,629881,Secondary,6,8
+,630442,Primary,15,35
+,632816,Primary,10,30
-,632843,Primary,1373,1991
-,632768,Secondary,17,4
-,632798,Secondary,8,3
-,632818,Secondary,144,71
-,632827,Secondary,101,1
-,632833,Secondary,83,20
-,632838,Secondary,1202,1255
-,633814,Primary,8,6
+,636033,Primary,54,26
-,635955,Primary,39,25
+,638295,Primary,29,11
+,638326,Secondary,8,3
+,638404,Secondary,10,4
-,638055,Primary,18,2
-,638151,Secondary,13,6
+,643703,Primary,51,-11
+,643681,Secondary,30,12
+,646761,Primary,1505,1119
+,646771,Secondary,166,7
+,646774,Secondary,9,4
+,646789,Secondary,9,7
+,646838,Secondary,9,2
+,647032,Primary,21,23
+,647005,Secondary,12,13
+,647011,Secondary,12,26
+,647638,Primary,39,287
-,647646,Primary,207,115
-,647551,Secondary,21,23
-,647578,Secondary,16,11
-,647586,Secondary,36,40
-,647639,Secondary,163,-76
-,648022,Primary,32,7
-,650252,Primary,10,2
+,654578,Primary,30,2
+,655140,Primary,10,4
-,655116,Primary,72,24
-,655075,Secondary,50,16
+,657833,Primary,42,72
+,657813,Secondary,18,28
+,658447,Primary,15,20
+,658473,Secondary,8,5
+,659149,Primary,1793,1526
+,659158,Secondary,141,78
+,659168,Secondary,93,71
+,659175,Secondary,15,1
+,659195,Secondary,39,32
+,659323,Secondary,8,1
+,660267,Primary,25,354
+,660356,Primary,17,80
+,660323,Secondary,7,4
+,661348,Primary,11,6
-,662783,Primary,16,2
-,662751,Secondary,8,3
-,663530,Primary,17,9
-,666694,Primary,34,44
-,666597,Secondary,7,18
-,666668,Secondary,30,24
-,668365,Primary,66,52
-,668970,Primary,8,36
-,670517,Primary,63,24
-,670451,Secondary,22,54
-,670508,Secondary,13,-4
-,671119,Primary,10,-5
+,673036,Primary,80,222
+,673045,Secondary,17,14
+,673049,Secondary,46,120
+,673056,Secondary,7,1
+,673912,Primary,22,6
+,675002,Primary,84,-2
+,675011,Secondary,12,0
+,675768,Primary,91,30
+,675730,Secondary,56,9
+,675779,Secondary,16,6
+,678806,Primary,126,145
+,678797,Secondary,58,55
+,678812,Secondary,8,0
-,680121,Primary,382,893
-,680094,Secondary,9,36
-,680108,Secondary,8,4
-,680112,Secondary,31,4
-,681160,Primary,17,313
-,681152,Secondary,9,80
-,681157,Secondary,10,299
-,682126,Primary,34,0
-,682024,Secondary,11,22
-,682030,Secondary,6,12
-,682097,Secondary,21,6
-,684121,Primary,537,246
-,684108,Secondary,11,2
-,684110,Secondary,7,26
-,684114,Secondary,37,1
-,684907,Primary,9,1
+,689861,Primary,40,5
+,689870,Secondary,10,12
+,692452,Primary,14,27
+,692443,Secondary,6,13
+,692450,Secondary,12,11
+,693453,Primary,22,27
+,693377,Secondary,17,14
+,693385,Secondary,8,-6
+,693409,Secondary,14,5
-,694390,Primary,133,131
-,694378,Secondary,40,65
-,694384,Secondary,27,9
-,696379,Primary,15,5
-,696331,Secondary,6,3
+,700044,Primary,50,32
+,699999,Secondary,26,3
+,700097,Secondary,6,-1
+,701013,Primary,384,309
+,701021,Secondary,36,16
+,701040,Secondary,37,66
+,701049,Secondary,11,4
+,705852,Primary,15,0
+,708589,Primary,12,29
+,710357,Primary,80,67
+,710367,Secondary,7,1
+,711666,Primary,128,22
+,711670,Secondary,21,1
+,711673,Secondary,41,12
+,711704,Secondary,9,1
+,711719,Secondary,11,1
+,712043,Primary,189,91
+,712047,Secondary,15,0
+,712066,Secondary,14,4
+,713955,Primary,29,52
+,713965,Secondary,7,3
+,715766,Primary,25,34
-,717489,Primary,18,5
-,720905,Primary,7,12
+,727868,Primary,42,9
+,727878,Secondary,12,0
+,728966,Primary,40,14
+,730259,Primary,156,89
+,730225,Secondary,106,18
+,730254,Secondary,94,70
+,730264,Secondary,17,6
+,730270,Secondary,27,89
+,730273,Secondary,14,21
-,730219,Primary,26,13
-,732054,Primary,15,3
+,749651,Primary,9,1
+,749646,Secondary,6,0
-,752225,Primary,37,8
+,753043,Primary,11,4
+,753045,Secondary,7,7
+,762473,Primary,22,5
+,776618,Primary,9,6
+,776661,Secondary,6,1
+,781014,Primary,13,14
+,783842,Primary,8,4
+,785777,Primary,6,3
-,790639,Primary,6,0
+,792227,Primary,15,24
+,802422,Primary,39,27
-,803062,Primary,6,0
-,803671,Primary,25,25
-,807392,Primary,13,33
-,811193,Primary,21,18
-,811203,Secondary,9,2
-,811206,Secondary,14,23
-,811252,Secondary,16,16
-,821455,Primary,23,7
-,821449,Secondary,8,6
+,822551,Primary,17,4
+,822509,Secondary,8,2
-,833825,Primary,10,5
-,833823,Secondary,7,5
+,836690,Primary,10,71
+,837473,Primary,15,6
+,838283,Primary,14,12
+,839198,Primary,18,21
