Dataset 2. The predicted transcription termination sites of Term-Seq.,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. avermitilis,,,,S. clavuligerus,,,,S. coelicolor,,,,S. griseus,,,,S. lividans,,,,S. tsukubaensis,,,,S. venezuelae,,,
Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score,Reference genome,Strand,Position,z-score
BA000030,+,3771841,316.687437166307,CP027858,+,3088827,448.24828331258,NC_003888,-,6177182,18.5070912271878,NC_010572,-,2181591,14.0315106857327,CP009124,-,2471240,222.888039494439,CP020700,-,1299148,527.59731979793,CP059991,-,2938544,312.259986336403
BA000030,+,2217246,311.524156258911,CP027858,+,4788009,438.717694447082,NC_003888,-,3722351,12.5221831434465,NC_010572,-,3904421,27.376690375984,CP009124,+,4048497,218.825172929605,CP020700,-,3818806,461.031638569273,CP059991,+,4875235,299.544264095792
BA000030,+,7022058,299.766649438053,CP027858,+,3446954,430.986071627907,NC_003888,-,4645883,12.2246490555059,NC_010572,-,6111729,159.628159361967,CP009124,-,5485791,215.923756236884,CP020700,-,3550988,455.295943142864,CP059991,+,5266096,292.224908582564
BA000030,+,5650390,295.526959474156,CP027858,+,3841022,421.35368397943,NC_003888,-,4265458,25.0034565622174,NC_010572,-,2445693,15.6417080689023,CP009124,+,4193016,207.879759679413,CP020700,+,3983648,448.449631444548,CP059991,-,4704883,281.726093655502
BA000030,+,8956508,293.249138288089,CP027858,-,3606567,420.111058887734,NC_003888,-,1785345,17.9610326236527,NC_010572,-,4457389,16.7343412675742,CP009124,-,2471490,206.119477346783,CP020700,+,2702914,444.401450882691,CP059991,+,4681635,277.009003080547
BA000030,+,5950252,289.568568080965,CP027858,-,4321480,414.511390967184,NC_003888,-,3343017,40.4442457839232,NC_010572,-,4517974,16.5941288764257,CP009124,+,5184225,203.639464651962,CP020700,+,5905344,416.39360294526,CP059991,-,4476694,273.585808652036
BA000030,+,3913035,288.152262512497,CP027858,+,4346856,412.452162989831,NC_003888,-,4061668,178.638961177308,NC_010572,-,4641457,152.617732445906,CP009124,-,5462845,200.944001463741,CP020700,+,3047767,397.197513087397,CP059991,+,5812903,261.650533374908
BA000030,+,5264952,279.426610632048,CP027858,-,1824080,409.636554000294,NC_003888,-,5615079,16.6679761891154,NC_010572,-,6528378,15.4690857174863,CP009124,-,5404497,188.545511482128,CP020700,+,3453825,387.279747867287,CP059991,+,4595882,260.116788669451
BA000030,-,5253399,276.165836848684,CP027858,+,3426607,396.490263506386,NC_003888,-,4089207,120.00296517511,NC_010572,-,2629947,15.8086386798483,CP009124,+,2829341,185.809751601321,CP020700,+,3353309,382.097273671577,CP059991,+,2239566,239.598351985028
BA000030,-,4901016,266.850342469726,CP027858,+,6586647,393.501305091151,NC_003888,-,4118883,415.3650176895,NC_010572,-,4029913,18.6862989411865,CP009124,+,4200711,181.603393888505,CP020700,+,3706798,373.898881907079,CP059991,+,4617290,235.570864269688
BA000030,+,5081712,262.646714581631,CP027858,+,3179405,390.322900157716,NC_003888,-,3679785,122.961001506833,NC_010572,-,4012432,69.8231798766978,CP009124,-,4074208,170.124931176788,CP020700,-,6244385,348.203257251124,CP059991,-,2709474,226.691175294222
BA000030,+,98449,261.921871894887,CP027858,-,4637733,387.386549101313,NC_003888,-,2237892,41.0461770774159,NC_010572,-,1136508,14.1292057940065,CP009124,+,6291737,165.302007990223,CP020700,-,2231020,345.229907919331,CP059991,+,6320000,223.378031573428
BA000030,+,5063380,261.257321478738,CP027858,-,2959288,366.253519178832,NC_003888,-,7726229,16.2478119670168,NC_010572,-,7261812,22.0279074659606,CP009124,-,2471151,164.837771777332,CP020700,-,1295897,344.790636987066,CP059991,+,4632001,219.348684741135
BA000030,-,5860689,258.572481844507,CP027858,-,5767991,343.517651874795,NC_003888,-,4370572,21.2878683288055,NC_010572,-,4518993,403.759304994338,CP009124,+,1942084,161.909439091764,CP020700,-,3766422,342.656022588196,CP059991,+,3900674,218.232336452848
BA000030,+,5299378,258.372027453959,CP027858,+,4858804,337.143607717452,NC_003888,-,1225437,18.2811055087561,NC_010572,-,1606561,26.6012002423923,CP009124,+,4216830,160.548065556937,CP020700,-,2308339,337.114896895437,CP059991,+,366730,218.068240837997
BA000030,-,4033059,256.55158327019,CP027858,+,3447310,309.422066509891,NC_003888,-,1313519,137.296821163162,NC_010572,-,5122939,565.017132025361,CP009124,+,5043790,160.002145152214,CP020700,-,5940946,328.119056178376,CP059991,+,4162500,217.397086332858
BA000030,+,616943,254.454314942896,CP027858,-,3319690,304.872813166557,NC_003888,-,6418932,45.005855455034,NC_010572,-,1003569,13.9395230442871,CP009124,+,4556921,159.496459922648,CP020700,-,4314064,326.446762943199,CP059991,-,2166176,216.109016800836
BA000030,+,5996986,250.151614007428,CP027858,+,2838268,286.759692959875,NC_003888,-,4222851,17.8239596228883,NC_010572,-,7676012,12.6362447652219,CP009124,-,2407995,159.255342594651,CP020700,-,4742589,323.245026928873,CP059991,+,3057084,212.065626181466
BA000030,-,8246144,240.675630370107,CP027858,+,3498249,285.22950260451,NC_003888,-,720917,16.4512748486904,NC_010572,-,2577010,68.0124237066399,CP009124,-,2471375,156.970520729295,CP020700,+,4896440,319.094745452722,CP059991,+,3331110,209.786463122366
BA000030,+,6272199,239.091910113218,CP027858,-,3125178,276.691328791806,NC_003888,-,1054706,45.7068306355837,NC_010572,-,4425188,19.3135999802509,CP009124,-,419484,149.99025651498,CP020700,-,1305926,314.205280364248,CP059991,-,4715453,208.784492085276
BA000030,-,6051842,238.739211214178,CP027858,+,2973898,263.255313346806,NC_003888,-,4243083,22.078810929965,NC_010572,-,1749268,13.7612820260723,CP009124,+,5804335,149.846750547018,CP020700,+,4839540,311.270860632162,CP059991,-,1686616,207.713993972954
BA000030,-,5308265,237.783508032288,CP027858,-,3864477,262.534743971646,NC_003888,-,4842604,282.861542988897,NC_010572,-,5164709,459.289885877863,CP009124,-,1102841,147.140401880757,CP020700,+,2706772,307.106828984691,CP059991,-,4709076,205.674302424492
BA000030,-,7250582,226.416313214845,CP027858,+,4014266,243.338505612512,NC_003888,-,2076979,12.4164618751481,NC_010572,-,4620399,20.5154661031774,CP009124,+,6590417,146.953802039199,CP020700,-,4180435,298.917723083363,CP059991,+,4723103,202.797236515591
BA000030,+,8201172,223.847416604699,CP027858,+,4201469,242.536191004237,NC_003888,-,4514884,13.7402177182059,NC_010572,-,4140276,239.575704012208,CP009124,+,4212772,140.91620183889,CP020700,-,1306252,297.679446848473,CP059991,+,4815636,194.456422785848
BA000030,+,7283746,223.329993401842,CP027858,-,1238643,240.918122306188,NC_003888,-,2544397,14.9419128860041,NC_010572,-,6338334,15.1233834410961,CP009124,-,3353247,139.238818987436,CP020700,-,2696347,288.576211572026,CP059991,+,8322285,194.231919909997
BA000030,+,5967436,223.276061413356,CP027858,+,3100996,233.437198200105,NC_003888,-,1580462,241.542175853914,NC_010572,-,3875327,15.288260032266,CP009124,-,6683459,135.278509011971,CP020700,+,2457506,277.955995359851,CP059991,-,7887401,193.339765865165
BA000030,+,5322190,222.455960568728,CP027859,-,204230,232.888765707047,NC_003888,-,3443132,15.2775634125536,NC_010572,-,3143532,14.6849869943377,CP009124,+,3306252,135.149563471871,CP020700,-,2998664,274.778720439668,CP059991,+,5259683,188.468082587282
BA000030,-,3072632,209.45079788568,CP027858,+,2968942,222.438059811123,NC_003888,-,4327776,14.3623487860909,NC_010572,-,3025473,13.4846524236037,CP009124,+,2658506,134.980811419538,CP020700,+,3818543,271.94757221502,CP059991,-,2938622,184.680742806547
BA000030,-,3295344,207.393727293026,CP027858,-,2474198,214.571823494363,NC_003888,-,5221136,16.5502574333077,NC_010572,-,1885437,45.8253593228119,CP009124,+,3696682,131.949747512489,CP020700,-,3128749,266.734886761221,CP059991,-,2264992,179.439460787599
BA000030,-,6991368,204.221624944897,CP027858,+,4638097,209.335973483646,NC_003888,-,1769886,16.5097204390103,NC_010572,-,1130229,56.0499056194805,CP009124,-,3381175,129.715365189592,CP020700,-,2417668,264.994531985891,CP059991,+,5321007,168.081327893469
BA000030,-,8122557,201.385659950111,CP027858,-,2544489,206.248409624546,NC_003888,-,3320478,17.7441116220096,NC_010572,-,6304162,17.4625080972732,CP009124,-,4296181,129.033619271078,CP020700,-,2308417,262.240592332917,CP059991,-,6007936,167.859988804374
BA000030,+,4030522,199.872388211965,CP027858,-,4942373,205.230352093734,NC_003888,-,7033617,15.8223642783457,NC_010572,-,5677085,15.5477675019183,CP009124,-,2660079,126.743916256516,CP020700,+,4426852,259.933678528493,CP059991,+,3474690,167.694300797455
BA000030,-,4854115,199.67453825665,CP027858,-,763790,202.100767442846,NC_003888,-,1462803,15.4596633769186,NC_010572,-,7480227,12.331742198791,CP009124,-,4919472,123.804835742408,CP020700,+,5307720,258.552472490357,CP059991,-,1652199,166.561660023209
BA000030,-,4962678,198.71671753322,CP027858,-,3319330,197.060575725995,NC_003888,-,5877328,81.9202153596534,NC_010572,-,3319436,31.6702651375676,CP009124,-,3822193,123.737847854435,CP020700,-,1900581,258.046213571939,CP059991,-,5295234,166.560261127995
BA000030,+,7289994,192.012438382522,CP027858,+,4843276,196.192578953252,NC_003888,-,2786948,16.1154852510333,NC_010572,-,4190712,16.6284693409532,CP009124,-,5904728,122.559609572467,CP020700,-,1103796,254.651957860035,CP059991,+,1696246,165.253183669268
BA000030,-,3239983,184.774265875457,CP027858,+,4357150,192.379316307612,NC_003888,-,2232066,17.1136640026434,NC_010572,-,4651591,14.0039288443641,CP009124,+,2654374,121.941305567553,CP020700,-,5566539,254.239149696895,CP059991,-,3505934,164.2430358427
BA000030,-,5207029,184.435116749592,CP027858,+,3401921,192.287653956697,NC_003888,-,2836142,50.5733554048237,NC_010572,-,4223290,29.769276591654,CP009124,+,3996209,120.512779875101,CP020700,+,3961044,253.41474454954,CP059991,+,4336094,159.737894022249
BA000030,+,3835970,182.945787500626,CP027858,-,4039310,188.80734703743,NC_003888,-,3165519,21.6954360647995,NC_010572,-,834834,27.6443460614124,CP009124,+,4150689,120.258482560608,CP020700,+,1305855,245.551843418815,CP059991,-,3429804,157.408585492925
BA000030,+,5378847,182.888118859382,CP027858,+,3088617,188.057749562699,NC_003888,-,5955675,16.1846916182726,NC_010572,-,2099039,13.9067890989315,CP009124,+,4669216,119.725705655663,CP020700,+,4242625,244.603918090849,CP059991,-,6357226,156.043448158722
BA000030,-,4816184,182.093857067495,CP027859,-,1374377,185.223407798054,NC_003888,-,919637,12.4934999302842,NC_010572,-,2261900,17.1572456127475,CP009124,+,5185090,118.803524712004,CP020700,+,3350586,242.261047848965,CP059991,-,7562278,154.64245428142
BA000030,+,6051930,177.999477796446,CP027858,+,4338742,182.518154915228,NC_003888,-,7402536,12.5373806467161,NC_010572,-,2725521,21.4767916564708,CP009124,+,3420693,113.255068691215,CP020700,+,4831712,241.104892885324,CP059991,-,5466269,153.982113587763
BA000030,+,5258366,175.363368672959,CP027858,+,4737125,178.163175767348,NC_003888,-,3228782,12.339778965659,NC_010572,-,6927783,22.9834495599898,CP009124,-,3981683,111.719528884515,CP020700,-,4201060,235.438655026812,CP059991,+,544873,153.172721064891
BA000030,+,5526663,173.988420682398,CP027858,-,1271394,177.888005713733,NC_003888,-,3380834,16.4354115218665,NC_010572,-,2106178,21.2199203382631,CP009124,+,4668127,110.896125081701,CP020700,-,2457131,234.451906569407,CP059991,+,5259566,151.734239987994
BA000030,+,6143248,172.666403855696,CP027858,+,2854416,176.5209611587,NC_003888,-,3756587,14.5378911251334,NC_010572,-,3334911,19.1143972145679,CP009124,+,3548188,109.920940831415,CP020700,-,2573758,223.377004009226,CP059991,-,3505992,143.153921917952
BA000030,+,5632587,172.078415562705,CP027858,-,5767917,176.214257468941,NC_003888,-,4431802,15.5529089787906,NC_010572,-,6272560,13.9588906536025,CP009124,+,5187672,109.674317331518,CP020700,-,787419,217.90552170258,CP059991,-,3099178,142.954247900359
BA000030,-,4856084,170.809956960357,CP027858,-,2805278,173.947872645409,NC_003888,-,2077908,102.360989596359,NC_010572,-,359304,67.9408180316549,CP009124,-,3033385,107.456725208576,CP020700,+,4648063,215.442142708104,CP059991,+,5711515,142.66771717588
BA000030,-,3474290,169.208444535835,CP027858,-,1077539,172.99326021246,NC_003888,-,1969298,13.7058664467793,NC_010572,-,543420,49.9900258055833,CP009124,-,3404784,105.884755338777,CP020700,+,6117346,213.202379928263,CP059991,-,4127933,137.400881289616
BA000030,+,2947800,167.287802896336,CP027858,+,3928323,171.753938328564,NC_003888,-,1754362,12.4455436464446,NC_010572,-,4165933,26.5378324708302,CP009124,+,2794480,104.704230373519,CP020700,-,4907946,213.069283265109,CP059991,+,1659935,136.274631918447
BA000030,+,5956794,165.590812185303,CP027859,+,1100015,170.313950839034,NC_003888,-,7770994,112.390951179473,NC_010572,-,5972372,17.7501610368634,CP009124,-,2903545,103.07175424181,CP020700,+,1305963,209.293591405364,CP059991,+,3427823,135.977086402744
BA000030,+,69455,165.425895029272,CP027858,-,2498060,167.304296004866,NC_003888,-,5754889,13.3666091383207,NC_010572,-,2283720,17.9789021539363,CP009124,+,6558479,101.318303466266,CP020700,+,4262082,208.523183044824,CP059991,-,4257258,135.48791126961
BA000030,-,4129752,165.19732516147,CP027858,+,5775696,157.50882659375,NC_003888,-,2357562,19.5616753398357,NC_010572,-,3346455,14.8157719853931,CP009124,-,2848550,99.3016030609085,CP020700,-,3914382,207.916349190613,CP059991,-,5922424,134.632225213054
BA000030,+,6627692,162.322771561004,CP027858,-,1499411,157.333146340854,NC_003888,-,4456865,19.6755101387328,NC_010572,-,6168544,89.3876517533228,CP009124,+,5631371,98.9354476991401,CP020700,-,4070008,200.744538357886,CP059991,-,7791323,131.293203983587
BA000030,+,6670835,159.95942357308,CP027858,-,2505034,154.318517256493,NC_003888,-,4363052,19.8267751872855,NC_010572,-,3480298,13.2654846895112,CP009124,+,5179790,98.1498794174977,CP020700,-,2167625,196.647341965102,CP059991,-,5119392,131.202042354377
BA000030,+,5517174,157.501658683914,CP027858,-,1476572,153.85520500138,NC_003888,-,1636909,106.980428711074,NC_010572,-,2581303,15.7934412928545,CP009124,-,4705507,95.483281812235,CP020700,+,1306039,194.862415452002,CP059991,+,5476464,130.049618196439
BA000030,-,5154936,155.638182579798,CP027858,-,1340423,153.77732582709,NC_003888,-,5400850,12.9911755336954,NC_010572,-,3156148,17.7884303100908,CP009124,-,2286190,95.1973626185277,CP020700,+,7315231,194.549492005473,CP059991,+,4860611,129.103085960817
BA000030,-,2976798,154.353551044667,CP027858,+,2777552,152.644986455362,NC_003888,-,2515718,21.0403522434155,NC_010572,-,4287208,13.0041028407689,CP009124,+,6759729,94.818200784153,CP020700,+,6064653,193.28893711895,CP059991,+,3371900,128.25301558878
BA000030,-,5206941,150.85700032239,CP027858,+,4788340,151.011676466995,NC_003888,-,6891421,21.9146943603461,NC_010572,-,7901316,14.1088035038172,CP009124,+,2391348,94.7019867758532,CP020700,+,5373274,191.67153251072,CP059991,+,5511815,127.774399351064
BA000030,-,3262613,150.632798489091,CP027858,+,4927984,150.73997699786,NC_003888,-,3786902,25.3132068563945,NC_010572,-,2854249,49.7318289243133,CP009124,+,5184148,94.6647373934607,CP020700,+,3963682,188.564663058378,CP059991,+,3260876,127.673937531881
BA000030,-,3221837,150.023497495094,CP027858,+,2370496,150.47672787426,NC_003888,-,2040546,55.2684375825207,NC_010572,-,4316058,30.2895988871166,CP009124,+,3930526,94.4219575078531,CP020700,-,3597837,188.400300786753,CP059991,+,2872403,127.32385727967
BA000030,-,6881859,149.960821055648,CP027858,-,935882,144.220258020919,NC_003888,-,3198406,19.1150060764877,NC_010572,-,3379031,18.1256844245762,CP009124,+,1723826,94.1647828297608,CP020700,-,4064558,188.3480756065,CP059991,+,4653798,126.059870874671
BA000030,-,6051944,148.491037191657,CP027858,-,3730035,143.113313413211,NC_003888,-,5688189,17.5609474362943,NC_010572,-,2723335,17.2676733948105,CP009124,-,2700220,93.68762028995,CP020700,-,5283255,187.589965870158,CP059991,-,6331828,122.798361365481
BA000030,-,1225751,143.406773637804,CP027858,+,965995,142.86823010424,NC_003888,-,908503,13.9984701886192,NC_010572,-,6190146,13.4127566725256,CP009124,+,5569185,93.2725407317735,CP020700,-,1953724,187.412064467158,CP059991,-,3253052,121.898922764184
BA000030,-,3832661,142.861642070547,CP027859,+,537809,141.394258470976,NC_003888,-,6093774,12.4759336281233,NC_010572,-,2741666,15.9318856893133,CP009124,+,3587379,90.5304603744288,CP020700,+,598981,186.846753127138,CP059991,-,6714379,120.822148258161
BA000030,+,8203955,140.429796176808,CP027858,+,5580163,141.233129053023,NC_003888,-,4005663,15.811244370153,NC_010572,-,6752172,26.3385286829682,CP009124,-,1292073,89.1612980147038,CP020700,+,5317514,185.892596396195,CP059991,+,2750432,120.233894308408
BA000030,-,5685317,138.870265907095,CP027858,+,4781040,140.866732181531,NC_003888,-,2200748,17.654836176342,NC_010572,-,2570327,19.9045726471785,CP009124,+,2458740,88.869601999291,CP020700,+,1777801,182.346150192721,CP059991,-,3817743,116.438813617848
BA000030,-,7382874,138.761787787647,CP027858,-,2349649,138.28590278761,NC_003888,-,4820938,17.339803899938,NC_010572,-,4349674,27.3218410728045,CP009124,-,5771827,88.1628950882239,CP020700,-,3838056,174.995422895281,CP059991,+,6430491,115.819663897251
BA000030,+,7618377,138.053230228636,CP027858,-,2200363,137.76636825901,NC_003888,-,1928534,158.560224572023,NC_010572,-,2808871,19.873863627902,CP009124,+,5521451,86.5343096256384,CP020700,-,3969411,172.775275135297,CP059991,-,1799646,114.527816039441
BA000030,+,4413371,137.335323295629,CP027858,+,693090,135.03611795788,NC_003888,-,1877090,23.3013342341719,NC_010572,-,4497419,28.7910427048459,CP009124,+,6264285,85.914294608952,CP020700,+,4842510,171.222688083493,CP059991,-,5892384,113.907194452714
BA000030,+,7546920,136.510707007539,CP027858,-,1231123,134.693014040447,NC_003888,-,5000628,25.1207471417055,NC_010572,-,4650923,19.0785555629538,CP009124,-,4686557,85.041404361935,CP020700,+,5664468,171.03993815307,CP059991,-,4152352,113.174799688675
BA000030,-,6724394,135.563652556418,CP027858,+,5838343,134.015603139633,NC_003888,-,4430808,12.0535221916347,NC_010572,-,5572917,23.0224202954457,CP009124,+,7407627,84.9233558478684,CP020700,+,2083155,168.631046466198,CP059991,-,1689825,112.253637649653
BA000030,+,6654004,134.133775003704,CP027858,+,4304242,133.862727028735,NC_003888,-,1637145,18.7510313850814,NC_010572,-,2652954,18.1598459692549,CP009124,+,4347092,84.6691282879045,CP020700,+,3552383,166.535786017375,CP059991,+,1359301,108.849716641956
BA000030,+,4906277,133.92525571986,CP027858,-,2532307,131.48342655312,NC_003888,-,3369992,25.6464233676548,NC_010572,-,5836990,21.7281671720508,CP009124,+,4220769,84.4337077829189,CP020700,+,369212,164.938698421556,CP059991,-,3659887,106.903866449882
BA000030,+,6197491,133.852491062132,CP027858,-,1461416,130.106733563617,NC_003888,-,4748451,19.7160453125524,NC_010572,-,2467728,34.6860022605426,CP009124,-,2796148,83.3923292137691,CP020700,-,1580020,164.873076959819,CP059991,+,3223008,106.010179376704
BA000030,+,5187503,133.810821862193,CP027858,-,2996883,129.97966055854,NC_003888,-,6891602,62.3857926315297,NC_010572,-,7828910,76.9396157838484,CP009124,-,5180947,83.3537236706432,CP020700,-,4182020,162.079754431915,CP059991,-,4862698,105.541423883695
BA000030,+,7325348,132.947897313779,CP027858,+,5075581,129.302944303077,NC_003888,-,5339343,14.862508459797,NC_010572,-,3371993,13.9355800933429,CP009124,+,7060179,83.2360345181514,CP020700,+,3142296,159.229886186997,CP059991,+,2476336,105.369373309451
BA000030,+,6042643,132.846752755385,CP027858,+,1767637,128.211779646539,NC_003888,-,3532661,15.3257777797514,NC_010572,-,2387314,16.5909619686379,CP009124,+,4233749,82.8184498245349,CP020700,-,4839504,158.893931564889,CP059991,+,1696465,104.862447454592
BA000030,+,4092456,129.926303056631,CP027858,-,3081350,127.290242713612,NC_003888,-,4470256,14.6900578035581,NC_010572,-,3133371,20.8869227894555,CP009124,+,6703319,82.0860757727482,CP020700,-,2781898,157.913171649301,CP059991,+,6081201,104.135443051671
BA000030,+,4414127,129.05476242795,CP027858,-,4635567,125.424742745241,NC_003888,-,4174280,25.0128556956268,NC_010572,-,4344471,20.968023217066,CP009124,-,4088128,81.5669733131497,CP020700,+,4939499,156.179045922372,CP059991,-,622825,103.444213332186
BA000030,-,3412928,128.112700875637,CP027858,+,3501195,122.926028986046,NC_003888,-,4008004,24.75516612265,NC_010572,-,607926,27.5722372541888,CP009124,-,4967500,81.4726222539801,CP020700,+,3505027,152.650734941831,CP059991,-,770365,103.247086443173
BA000030,+,5134057,127.679378924057,CP027858,+,6051411,122.135699665339,NC_003888,-,2298014,18.4989751093863,NC_010572,-,6258119,14.9379777724179,CP009124,+,8259996,81.4194736880998,CP020700,-,4385595,150.279487270433,CP059991,+,4170973,101.935311770039
BA000030,+,3283419,126.764099444809,CP027858,-,3339501,122.022869248681,NC_003888,-,4482551,25.7820638573736,NC_010572,-,2089052,12.1219505923463,CP009124,+,4168847,81.0986526811975,CP020700,-,4429681,150.260077716252,CP059991,+,7086909,101.493453615707
BA000030,-,8026246,126.66530633507,CP027858,-,5664901,121.679814942294,NC_003888,-,2261063,16.5696345735145,NC_010572,-,2600065,32.6641277765442,CP009124,+,4030282,81.0210671146974,CP020700,+,3778680,147.15670043668,CP059991,-,4265470,101.276697795369
