TTS position	Strand	Signal intensity	Associated gene	TTS category
3127113	+	1.305953656	SAVERM_2548	A
3150201	+	0.904544939	SAVERM_2567	A
3160428	+	1.023317162	SAVERM_2574	A
3160489	+	0.609481093	SAVERM_2574	A
3208076	+	27.15766711	None	N
3222732	+	1.152208056	SAVERM_2623	A
3262649	+	0.659190504	None	N
3262836	+	2.160789183	None	N
3432861	+	0.349390623	SAVERM_2797	A
3433038	+	0.557462999	None	N
3630629	+	1.048171868	SAVERM_2902	A
3671624	+	1.125044668	None	N
3688977	+	1.759380467	None	N
3742616	+	2.732988217	SAVERM_2985	A
3777280	+	0.634335798	SAVERM_3020	A
3913035	+	37.60298768	None	N
3941943	+	0.94413568	SAVERM_3164	A
3945028	+	0.453426811	SAVERM_3168	A
3952716	+	0.517872258	SAVERM_3176	A
3998840	+	0.569890352	SAVERM_3207	A
4034568	+	0.879690233	None	N
4121003	+	1.216653503	None	N
4207394	+	0.542726963	None	N
4207426	+	1.670080314	None	N
4255392	+	0.530299611	SAVERM_3433	A
4263359	+	5.872886457	None	N
4295147	+	0.594745057	SAVERM_3463	A
4296311	+	2.785006311	None	N
4299259	+	0.582317705	None	N
4387641	+	0.41383607	SAVERM_3545	A
4418466	+	0.621908446	None	N
4432394	+	2.009352266	SAVERM_3582	A
4452523	+	0.725944633	None	N
4485821	+	0.505444905	SAVERM_3630	A
4517861	+	0.67392654	SAVERM_3646	A
4590541	+	7.310039689	None	N
4593773	+	2.37898023	SAVERM_3711	A
4594816	+	3.545924321	None	N
4602436	+	2.844834393	None	N
4604046	+	0.349390623	None	N
4610197	+	0.505444905	SAVERM_3725	A
4610237	+	0.41383607	SAVERM_3725	A
4610298	+	0.401408717	SAVERM_3725	A
4614016	+	0.67392654	None	N
4614121	+	2.448043041	None	N
4614763	+	3.910050979	None	N
4617597	+	3.104924863	None	N
4631984	+	0.401408717	None	N
4634022	+	0.478281517	None	N
4680420	+	0.986035103	SAVERM_3785	A
4742094	+	0.453426811	None	N
4762131	+	16.03095316	None	N
4765915	+	599.2545862	None	N
4827245	+	0.41383607	None	N
4827315	+	0.646763151	None	N
4871770	+	1.347853079	None	N
4873164	+	0.41383607	SAVERM_3948	A
4896019	+	10.11528334	None	N
4909621	+	0.41383607	None	N
4945420	+	136.7795288	SAVERM_4024	A
4952539	+	0.582317705	SAVERM_4032	A
4952659	+	0.401408717	SAVERM_4032	A
5055489	+	1.967452842	SAVERM_t21	A
5059625	+	0.517872258	SAVERM_4123	A
5087506	+	0.594745057	SAVERM_4147	A
5114817	+	2.212807277	None	N
5132988	+	0.453426811	None	N
5133172	+	0.67392654	None	N
5133209	+	0.738371986	None	N
5170789	+	0.453426811	None	N
5193897	+	1.20422615	SAVERM_4235	A
5195973	+	0.892117586	SAVERM_4236	A
5196002	+	1.164635409	SAVERM_4236	A
5305997	+	0.505444905	SAVERM_4328	A
5383209	+	0.401408717	SAVERM_4402	A
5398462	+	0.711208598	None	N
5519850	+	1.139780703	None	N
5519964	+	0.582317705	None	N
5520279	+	18.41047419	None	N
5594469	+	0.557462999	None	N
5599654	+	2.730679535	None	N
5600635	+	1.112617315	SAVERM_4585	A
5623293	+	702.6884469	None	N
5721964	+	5.089422423	None	N
5758981	+	2.354125524	None	N
5759330	+	19.4346753	None	N
5798231	+	7.894666075	None	N
6056046	+	0.349390623	SAVERM_5004	A
6056515	+	0.725944633	None	N
6068490	+	1.023317162	None	N
6308847	+	1.915434748	None	N
6326106	+	0.661499187	SAVERM_5218	A
6336285	+	0.646763151	SAVERM_5227	A
6350266	+	0.775654045	SAVERM_5240	A
6412256	+	2.30210743	None	N
6412290	+	1.603326185	None	N
6423898	+	0.349390623	None	N
6484550	+	5.981540009	None	N
6484722	+	1.850989301	None	N
6556244	+	0.996153774	None	N
6556461	+	0.94413568	None	N
6564193	+	1.256244244	None	N
6603276	+	0.842408174	None	N
6603370	+	0.698781245	None	N
6603458	+	0.840099492	None	N
6681497	+	3.419342109	SAVERM_5508	A
6694525	+	8.038293004	None	N
6700711	+	8.576402604	None	N
6700801	+	0.465854164	SAVERM_5534	A
6705380	+	0.465854164	SAVERM_5540	A
6788141	+	0.349390623	SAVERM_5611	A
6873495	+	0.349390623	SAVERM_5682	A
6879475	+	0.401408717	SAVERM_5687	A
6885405	+	0.41383607	None	N
6913307	+	1.43484455	None	N
6959012	+	0.349390623	SAVERM_5756	A
6962847	+	0.505444905	SAVERM_5758	A
6971915	+	1.060599221	SAVERM_5766	A
6974453	+	0.775654045	SAVERM_5768	A
7000817	+	0.609481093	SAVERM_5796	A
7070555	+	32.28491239	SAVERM_5862	A
7139111	+	1.266362915	SAVERM_5926	A
7142690	+	0.60717241	None	N
7224711	+	0.349390623	SAVERM_5997	A
7229267	+	2.886733817	None	N
7293751	+	0.401408717	SAVERM_6059	A
7340569	+	2.235353301	None	N
7373927	+	0.582317705	SAVERM_6130	A
7471244	+	0.609481093	None	N
7606475	+	1.268671597	None	N
7613136	+	0.646763151	SAVERM_6347	A
7868242	+	2.304416112	None	N
7952543	+	0.41383607	SAVERM_6648	A
7963660	+	0.750799339	SAVERM_6657	A
8079044	+	0.775654045	SAVERM_6762	A
8120495	+	4.63368693	None	N
8561027	+	1.139780703	SAVERM_7186	A
8657412	+	2.239970665	None	N
8956508	+	107.4617588	SAVERM_7513	A
48735	-	-0.453426811	None	N
120166	-	-0.505444905	SAVERM_104	A
120531	-	-0.686353892	SAVERM_104	A
133693	-	-0.609481093	None	N
267992	-	-0.698781245	SAVERM_227	A
787029	-	-0.401408717	None	N
788119	-	-3.16937031	None	N
801618	-	-0.686353892	None	N
879529	-	-0.946444362	None	N
879652	-	-0.569890352	None	N
946696	-	-2.111079771	SAVERM_793	A
1011842	-	-0.453426811	None	N
1090985	-	-1.707362373	SAVERM_911	A
1132051	-	-0.750799339	SAVERM_935	A
1214089	-	-1.033435833	SAVERM_954	A
1219167	-	-0.517872258	None	N
1219274	-	-305.3123912	None	N
1221533	-	-0.401408717	SAVERM_962	A
1243595	-	-1.399871173	SAVERM_980	A
1243725	-	-0.646763151	SAVERM_980	A
1323891	-	-0.478281517	None	N
1323959	-	-0.775654045	SAVERM_1048	A
1403445	-	-0.609481093	None	N
1403753	-	-0.971299068	SAVERM_1118	A
1454261	-	-0.750799339	None	N
1501134	-	-0.41383607	None	N
1501208	-	-2.202688606	None	N
1593741	-	-0.854835527	None	N
1597242	-	-5.327850811	None	N
1742041	-	-0.983726421	SAVERM_1411	A
1748585	-	-0.478281517	None	N
1843492	-	-7.726184441	None	N
1868222	-	-0.41383607	SAVERM_1526	A
1918820	-	-0.815244786	None	N
2003669	-	-0.465854164	None	N
2082027	-	-0.478281517	SAVERM_1705	A
2229718	-	-0.738371986	SAVERM_1820	A
2266765	-	-1.451889267	SAVERM_1848	A
2480686	-	-0.349390623	SAVERM_2034	A
2590373	-	-8.885318543	None	N
2649538	-	-0.517872258	SAVERM_2177	A
2743537	-	-0.723635951	SAVERM_2252	A
2872736	-	-0.349390623	SAVERM_2363	A
2911543	-	-0.530299611	None	N
2993294	-	-0.530299611	None	N
3110795	-	-0.646763151	None	N
3211696	-	-0.67392654	None	N
3262613	-	-176.7348741	None	N
3282938	-	-0.646763151	None	N
3304371	-	-0.738371986	SAVERM_2695	A
3304404	-	-0.349390623	SAVERM_2695	A
3429774	-	-1.229080856	None	N
3476623	-	-0.634335798	None	N
3494827	-	-0.802817433	SAVERM_2852	A
3504470	-	-0.453426811	SAVERM_2858	A
3633161	-	-2.663925406	None	N
3660865	-	-0.904544939	None	N
3661141	-	-1.241508209	None	N
3661253	-	-0.698781245	None	N
3664160	-	-18.81419159	None	N
3671250	-	-0.698781245	None	N
3671597	-	-0.517872258	None	N
3682101	-	-0.401408717	None	N
3688670	-	-2.200379924	None	N
3758567	-	-0.67392654	SAVERM_3002	A
3773484	-	-1031.565732	None	N
4412212	-	-0.582317705	None	N
4412308	-	-0.763226692	None	N
4412366	-	-0.827672139	SAVERM_3562	A
4447645	-	-2.212807277	None	N
4571267	-	-46.16200242	None	N
4602472	-	-0.906853621	None	N
4613228	-	-2.054444313	None	N
4628066	-	-0.41383607	None	N
4629409	-	-0.517872258	None	N
4629609	-	-0.517872258	None	N
4633446	-	-0.478281517	SAVERM_3745	A
4633547	-	-0.401408717	None	N
4636327	-	-0.569890352	None	N
4678333	-	-0.840099492	None	N
4805101	-	-1.360280432	SAVERM_3889	A
4849342	-	-2.007043583	SAVERM_3928	A
4887191	-	-0.41383607	SAVERM_3962	A
4933460	-	-0.686353892	None	N
5008072	-	-0.465854164	SAVERM_4087	A
5015455	-	-0.827672139	None	N
5018509	-	-0.569890352	SAVERM_4100	A
5043457	-	-26.93255002	None	N
5047333	-	-2.430998324	SAVERM_4115	A
5064950	-	-1.838561949	SAVERM_4128	A
5132428	-	-17.94781265	None	N
5134604	-	-0.478281517	SAVERM_4185	A
5134989	-	-0.349390623	SAVERM_4185	A
5155308	-	-1.318381009	None	N
5168846	-	-0.557462999	None	N
5170180	-	-0.931708327	None	N
5176902	-	-3.045096781	None	N
5187312	-	-0.349390623	SAVERM_4230	A
5199207	-	-0.983726421	SAVERM_4240	A
5229192	-	-0.453426811	SAVERM_4262	A
5240062	-	-1.409989844	None	N
5251537	-	-1.125044668	None	N
5270338	-	-2.252398018	SAVERM_4300	A
5287949	-	-0.738371986	None	N
5294438	-	-0.349390623	SAVERM_4321	A
5310300	-	-0.79039008	SAVERM_4333	A
5310349	-	-0.854835527	SAVERM_4333	A
5346077	-	-0.879690233	SAVERM_4367	A
5454788	-	-9.193693685	None	N
5508864	-	-6.370521373	None	N
5543251	-	-0.349390623	SAVERM_4538	A
5593364	-	-0.401408717	None	N
5593438	-	-0.569890352	None	N
5610040	-	-0.919280974	SAVERM_4595	A
5659293	-	-2.252398018	None	N
5688143	-	-0.60717241	SAVERM_4663	A
5776606	-	-1.154516738	SAVERM_4737	A
5777131	-	-1.96514416	SAVERM_4738	A
5780527	-	-5.253286694	SAVERM_4741	A
5835018	-	-2.445734359	SAVERM_4794	A
5879870	-	-0.530299611	None	N
5882256	-	-0.763226692	SAVERM_4840	A
5882640	-	-0.453426811	SAVERM_4840	A
5883051	-	-2.165406547	SAVERM_4840	A
5883637	-	-0.517872258	SAVERM_4841	A
5884207	-	-4.066105261	SAVERM_4841	A
5969712	-	-0.79039008	SAVERM_4914	A
5971213	-	-0.981417739	SAVERM_4914	A
5978986	-	-0.465854164	SAVERM_4918	A
6000038	-	-0.401408717	SAVERM_4948	A
6073566	-	-1.437153232	SAVERM_5016	A
6075665	-	-1.424725879	None	N
6103763	-	-1.28109895	None	N
6198585	-	-1.476743973	None	N
6198774	-	-3.962069073	None	N
6202756	-	-2.462779076	None	N
6216866	-	-0.453426811	SAVERM_5119	A
6225324	-	-835.8875145	None	N
6234537	-	-0.349390623	SAVERM_5134	A
6270542	-	-3.360397969	None	N
6270702	-	-0.465854164	None	N
6300553	-	-0.802817433	None	N
6300554	-	-0.802817433	None	N
6322741	-	-0.736063304	None	N
6417298	-	-68.53542962	SAVERM_5296	A
6562877	-	-8.421773062	SAVERM_5412	A
6670662	-	-0.478281517	SAVERM_5493	A
6705805	-	-8.258792733	SAVERM_5541	A
6705860	-	-0.505444905	SAVERM_5541	A
6712127	-	-4.737723118	None	N
6821322	-	-0.401408717	SAVERM_5641	A
6821488	-	-2.371170241	SAVERM_5641	A
6821688	-	-1.243816891	SAVERM_5641	A
6822261	-	-0.530299611	SAVERM_5641	A
6860231	-	-1.12735335	None	N
7024783	-	-0.698781245	SAVERM_5817	A
7024915	-	-0.465854164	SAVERM_5817	A
7158123	-	-0.41383607	SAVERM_5946	A
7173048	-	-1.630489573	SAVERM_5958	A
7181453	-	-0.582317705	None	N
7181516	-	-0.401408717	None	N
7196588	-	-1.335425726	None	N
7295633	-	-0.401408717	SAVERM_6061	A
7299437	-	-0.94413568	SAVERM_6064	A
7307332	-	-0.41383607	None	N
7322306	-	-0.542726963	None	N
7325224	-	-0.349390623	SAVERM_6086	A
7425558	-	-0.661499187	None	N
7519422	-	-0.349390623	SAVERM_6261	A
7792231	-	-0.453426811	SAVERM_6504	A
7797163	-	-1.514026032	None	N
7797185	-	-0.401408717	None	N
7821469	-	-0.465854164	SAVERM_6533	A
7938393	-	-0.594745057	SAVERM_6634	A
7948815	-	-0.505444905	SAVERM_6644	A
7967081	-	-0.517872258	None	N
8026161	-	-0.41383607	SAVERM_6710	A
8026246	-	-47.84681877	None	N
8027751	-	-1.139780703	SAVERM_6712	A
8226096	-	-0.401408717	SAVERM_6893	A
8226186	-	-0.582317705	SAVERM_6893	A
8235960	-	-0.750799339	None	N
8299610	-	-0.996153774	None	N
8305938	-	-0.634335798	SAVERM_6960	A
8307914	-	-0.569890352	SAVERM_6961	A
8650918	-	-0.349390623	SAVERM_7255	A
8752516	-	-0.86726288	SAVERM_7337	A
8851004	-	-1.060599221	SAVERM_7419	A
8895691	-	-0.349390623	SAVERM_7468	A
4413371	+	83.23257946	SAVERM_3562	P
3264820	+	1.125044668	SAVERM_2660	P
3264783	+	0.582317705	SAVERM_2660	S
5130214	+	1.69493502	SAVERM_t29	S
5129823	+	21.16512449	SAVERM_t29	P
5717832	+	2.306724794	SAVERM_4690	P
7881598	+	30.13689371	SAVERM_6584	P
4636581	+	6.045985456	SAVERM_3746	P
3723879	+	0.349390623	SAVERM_2971	P
3511569	+	0.646763151	SAVERM_2865	P
1413018	+	11.61138071	SAVERM_1125	P
3786874	+	9.271991225	SAVERM_3027	P
7196640	+	1.038053197	SAVERM_5977	P
6067355	+	3.194225016	SAVERM_5010	P
8109566	+	20.87556195	SAVERM_6792	P
5958930	+	0.906853621	SAVERM_4903	P
6120904	+	139.683505	SAVERM_5053	P
4680001	+	355.3391137	SAVERM_3784	P
2036751	+	0.41383607	SAVERM_1663	P
6284272	+	5.41395834	SAVERM_5178	P
5992990	+	10.28288103	SAVERM_4936	P
7861588	+	1.370399103	SAVERM_6569	P
3869259	+	4.821521964	SAVERM_3095	P
5647127	+	0.582317705	SAVERM_4622	P
6321294	+	0.881998915	SAVERM_5214	P
3216515	+	3.798204802	SAVERM_2617	P
6194877	+	1.308262338	SAVERM_5100	P
4010431	+	15.74797353	SAVERM_3218	P
8815817	+	0.79039008	SAVERM_7387	S
8815756	+	1.333117044	SAVERM_7387	P
5307202	+	1.02100848	SAVERM_4329	P
7311955	+	0.634335798	SAVERM_6074	P
6176138	+	1.516334714	SAVERM_5091	P
5743046	+	0.453426811	SAVERM_4711	P
7264990	+	5.946566633	SAVERM_6033	P
7990244	+	224.7038554	SAVERM_6677	P
5632040	+	45.27627008	SAVERM_4614	P
7472108	+	7.6865937	SAVERM_6219	P
8259370	+	0.41383607	SAVERM_6922	S
8259570	+	28.15612957	SAVERM_6922	P
3406762	+	0.698781245	SAVERM_2776	P
2345599	+	1.20422615	SAVERM_1916	P
2069682	+	0.349390623	SAVERM_1690	S
2069762	+	0.349390623	SAVERM_1690	P
1059975	+	29.92847819	SAVERM_885	P
5154927	+	3.828560815	SAVERM_4203	P
7505199	+	1.268671597	SAVERM_6247	P
7994621	+	9.983199823	SAVERM_6682	P
7278896	+	6.786666125	SAVERM_6045	P
6708130	+	5.143749199	SAVERM_5542	P
4109692	+	0.725944633	SAVERM_3300	P
6119219	+	3.35258798	SAVERM_5052	P
106272	+	1.062907903	SAVERM_95	P
8022097	+	0.646763151	SAVERM_6706	P
7758382	+	9.418810778	SAVERM_6478	P
6563359	+	43.92576518	SAVERM_5412	P
6563023	+	0.349390623	SAVERM_5412	S
5770171	+	756.7480692	SAVERM_4731	P
6618578	+	8.959882661	SAVERM_5455	P
7908053	+	0.840099492	SAVERM_6608	P
8122351	+	1.397562491	SAVERM_6802	P
5896422	+	1.152208056	SAVERM_4850	P
5197553	+	1.774116502	SAVERM_4237	P
5248502	+	2.046634324	SAVERM_4282	P
5964608	+	2.859570429	SAVERM_t43	P
3472141	+	5.842530445	SAVERM_2825	P
6617282	+	16.54244017	SAVERM_5454	P
6617327	+	7.839455357	SAVERM_5454	S
6714964	+	0.996153774	SAVERM_5551	P
6104898	+	0.582317705	SAVERM_5042	S
6104798	+	55.72994143	SAVERM_5042	P
7797207	+	10.46929133	SAVERM_6507	P
3746556	+	141.6166708	SAVERM_2990	P
5512954	+	36.51399798	SAVERM_4512	P
5566946	+	14.19150727	SAVERM_4558	P
5566765	+	2.113388454	SAVERM_4558	S
5569577	+	10.13144412	SAVERM_4560	P
5483320	+	2.086225065	SAVERM_4487	P
5483278	+	1.630489573	SAVERM_4487	S
7563302	+	231.6930926	SAVERM_6299	P
4901054	+	1.763997831	SAVERM_3974	P
6884856	+	4.130550708	SAVERM_5694	P
4015739	+	0.453426811	SAVERM_3221	P
6001294	+	32.45977928	SAVERM_4951	P
2302802	+	1.370399103	SAVERM_1876	P
1614249	+	0.815244786	SAVERM_1305	P
5299378	+	1343.485242	SAVERM_t34	P
1372349	+	1.489171326	SAVERM_1085	P
7778811	+	0.41383607	SAVERM_6493	P
6671573	+	11.43739777	SAVERM_5494	P
5989215	+	9.720800671	SAVERM_4928	P
4092456	+	63.176682	SAVERM_3288	P
6595123	+	1.023317162	SAVERM_5440	P
3405242	+	23.94462949	SAVERM_2775	P
8503288	+	2.611907312	SAVERM_7142	P
5772567	+	3.910050979	SAVERM_4733	P
6084951	+	9.94272514	SAVERM_5026	P
6290764	+	0.349390623	SAVERM_5183	P
3500516	+	13.88632476	SAVERM_2857	P
5821813	+	74.81434216	SAVERM_4776	P
6658379	+	89.18798551	SAVERM_t54	P
6484066	+	22.40113139	SAVERM_5349	P
5240088	+	6.368212691	SAVERM_4273	P
5240063	+	1.010889809	SAVERM_4273	S
3727910	+	15.67891071	SAVERM_2972	P
5990406	+	8.288264804	SAVERM_4930	P
3867959	+	0.67392654	SAVERM_3093	P
7371179	+	3.159251639	SAVERM_6129	P
8174669	+	689.8822423	SAVERM_6847	P
4866118	+	1.243816891	SAVERM_3941	P
7121171	+	5.546041858	SAVERM_5910	P
6538763	+	45.6588662	SAVERM_5392	P
4267715	+	1.241508209	SAVERM_3443	P
8159750	+	2.111079771	SAVERM_6836	P
3202827	+	6.293648573	SAVERM_2604	P
5956675	+	3817.474941	SAVERM_t41	P
6279027	+	3.704287285	SAVERM_5172	P
4414127	+	267.085977	SAVERM_3563	P
6309650	+	5.698903516	SAVERM_5203	P
7147194	+	0.609481093	SAVERM_5936	P
5839376	+	1.320689691	SAVERM_4798	P
7577810	+	2.281870088	SAVERM_6310	P
7283746	+	215.1575785	SAVERM_6049	P
8055035	+	6.363595326	SAVERM_6737	P
7294357	+	28.81301139	SAVERM_6060	P
4720955	+	8.412538333	SAVERM_3818	P
6638509	+	1.075335256	SAVERM_5468	S
6638397	+	468.8507369	SAVERM_5468	P
6638477	+	1.010889809	SAVERM_5468	S
6051514	+	12.13156165	SAVERM_5001	S
6051930	+	1331.922302	SAVERM_5001	P
3660080	+	0.621908446	SAVERM_2924	P
5095311	+	422.1434079	SAVERM_t28	P
8490016	+	0.983726421	SAVERM_7128	P
8489830	+	0.401408717	SAVERM_7128	S
7425592	+	0.931708327	SAVERM_6179	P
2344822	+	3.208961051	SAVERM_1915	P
5690897	+	2.849451758	SAVERM_4665	P
4316432	+	2.955796628	SAVERM_3482	P
7146620	+	2.512488488	SAVERM_5935	P
5199584	+	3.521069615	SAVERM_4240	P
8771883	+	0.557462999	SAVERM_7355	S
8771803	+	4.465205295	SAVERM_7355	P
1536932	+	5.322349505	SAVERM_1237	P
7009745	+	52.38074373	SAVERM_5803	P
4905979	+	91.32132032	SAVERM_3979	P
4906277	+	12.80637214	SAVERM_3979	S
5692966	+	1.35797175	SAVERM_4666	P
6695783	+	2.691088794	SAVERM_5524	P
1675808	+	0.646763151	SAVERM_1359	P
8055343	+	5.191149929	SAVERM_6738	P
5724568	+	232.4275857	SAVERM_4697	P
3876019	+	30.82806262	SAVERM_3101	P
5673612	+	2.82228837	SAVERM_4649	P
5977133	+	22.18844165	SAVERM_4915	P
7325348	+	30.44030834	SAVERM_6086	P
8103241	+	1.125044668	SAVERM_6784	P
4678298	+	14.85673988	SAVERM_3782	P
7420396	+	1.670080314	SAVERM_6173	P
8188108	+	6.283529902	SAVERM_6860	P
8188102	+	6.283529902	SAVERM_6860	S
5632587	+	127.7566255	SAVERM_4615	P
2593618	+	1.201917468	SAVERM_2125	P
4177745	+	1.620370902	SAVERM_3361	P
3679076	+	2.034206971	SAVERM_2933	S
3679191	+	2.135934477	SAVERM_2933	P
3283419	+	1419.535363	SAVERM_2675	P
8000131	+	52.17389844	SAVERM_6687	P
3211754	+	37.04164576	SAVERM_2612	P
5264952	+	575.6500714	SAVERM_4296	P
4336772	+	41.37830331	SAVERM_3501	P
4324301	+	4.095577331	SAVERM_3490	P
6198622	+	35.87273614	SAVERM_5103	P
5947584	+	0.725944633	SAVERM_4893	P
3509959	+	14.14783997	SAVERM_2863	P
6058852	+	1.216653503	SAVERM_5005	P
6657012	+	0.842408174	SAVERM_5484	P
4271372	+	0.621908446	SAVERM_3446	P
4555696	+	205.5992173	SAVERM_3678	P
1439566	+	2.89916117	SAVERM_1150	P
5390000	+	2.069180348	SAVERM_4405	P
5063160	+	1379.500628	SAVERM_t22	P
268159	+	0.465854164	SAVERM_227	P
8337188	+	0.686353892	SAVERM_6977	P
8398505	+	1.075335256	SAVERM_7037	P
5037375	+	1.437153232	SAVERM_4110	P
6050257	+	16.78460198	SAVERM_5000	P
8096164	+	38.23025194	SAVERM_6778	P
5230800	+	0.931708327	SAVERM_4263	P
3083613	+	2.304416112	SAVERM_2518	P
3556026	+	5.94425795	SAVERM_2894	P
6006292	+	13.01356057	SAVERM_4957	P
8542084	+	0.919280974	SAVERM_7173	P
6081791	+	1.528762067	SAVERM_5023	P
3117580	+	0.931708327	SAVERM_2543	P
5068080	+	1.853297984	SAVERM_4128	P
8201172	+	466.3576018	SAVERM_6872	P
5136355	+	4.78743253	SAVERM_4186	P
6627692	+	24.12180506	SAVERM_5461	P
6449870	+	2.135934477	SAVERM_5321	P
3429820	+	12.72399803	SAVERM_2794	P
44193	+	0.41383607	SAVERM_34	S
44108	+	126.317902	SAVERM_34	P
7426737	+	12.66878731	SAVERM_6180	P
5635321	+	1.732217078	SAVERM_4616	P
3382561	+	0.478281517	SAVERM_2754	P
4485211	+	0.41383607	SAVERM_3627	P
3196845	+	0.996153774	SAVERM_2600	P
8003140	+	0.659190504	SAVERM_6691	P
2129536	+	1.166944091	SAVERM_1747	P
5182490	+	21.03942622	SAVERM_4226	P
5348065	+	0.349390623	SAVERM_4368	P
4996125	+	44.59188173	SAVERM_4075	P
4979415	+	0.465854164	SAVERM_4058	P
6270072	+	5.156176552	SAVERM_5161	P
5996986	+	1333.02448	SAVERM_4945	P
7036514	+	0.569890352	SAVERM_5829	P
6998844	+	2.522607159	SAVERM_5793	P
6727014	+	29.55423286	SAVERM_5561	P
1766980	+	0.41383607	SAVERM_1431	P
8120863	+	48.28000824	SAVERM_6800	P
6476056	+	3.327733274	SAVERM_5342	P
6047569	+	13.22944293	SAVERM_4998	P
2572363	+	0.517872258	SAVERM_2108	P
3926657	+	14.95989213	SAVERM_3151	P
6000221	+	1.360280432	SAVERM_4948	P
7559586	+	9.688135977	SAVERM_6295	P
5982539	+	141.4924494	SAVERM_4920	P
794265	+	1.553616773	SAVERM_638	P
2338498	+	1.229080856	SAVERM_1910	P
8358966	+	2.034206971	SAVERM_6997	P
8358878	+	0.661499187	SAVERM_6997	S
5911470	+	0.349390623	SAVERM_4861	P
7982362	+	3.097114875	SAVERM_6670	P
5950252	+	136.079666	SAVERM_t40	P
5968537	+	77.05057941	SAVERM_4912	P
7292964	+	0.621908446	SAVERM_6057	P
4679608	+	0.983726421	SAVERM_3783	P
5528951	+	13.24187029	SAVERM_4525	P
20352	+	1.607943549	SAVERM_14	P
6273806	+	1.838561949	SAVERM_5166	P
2691474	+	8.162566534	SAVERM_2211	P
6900281	+	4.234586896	SAVERM_5706	P
6653845	+	3.417033427	SAVERM_5481	P
7159154	+	1.382826456	SAVERM_5946	P
4007190	+	9.710682	SAVERM_3215	P
7227103	+	2.507871124	SAVERM_6000	P
4110276	+	62.82694824	SAVERM_3301	P
4708408	+	76.84481571	SAVERM_3805	P
7560792	+	556.4884026	SAVERM_6296	P
6665697	+	0.698781245	SAVERM_5489	P
5322193	+	285.4051855	SAVERM_t36	P
5966604	+	9.852000247	SAVERM_4910	P
8371944	+	1.551308091	SAVERM_7011	P
6757635	+	2.423188335	SAVERM_5583	P
6664870	+	28.17548297	SAVERM_5488	P
3893158	+	0.453426811	SAVERM_3118	P
5600165	+	8.008820934	SAVERM_4584	P
1219206	+	4.908513435	SAVERM_958	P
1219271	+	2.056752995	SAVERM_958	S
1386161	+	0.349390623	SAVERM_1100	P
5563769	+	0.569890352	SAVERM_4554	P
4158102	+	0.41383607	SAVERM_3342	P
5383015	+	0.465854164	SAVERM_4400	P
1683884	+	4.504796036	SAVERM_1366	P
85588	+	0.530299611	SAVERM_75	S
85508	+	0.906853621	SAVERM_75	P
6055538	+	6.757194055	SAVERM_5003	P
3305792	+	58.93109249	SAVERM_2697	P
3305897	+	5.496332446	SAVERM_2697	S
6003668	+	118.9201324	SAVERM_4954	P
5999188	+	239.4816115	SAVERM_4947	P
5651872	+	0.530299611	SAVERM_4625	P
6652606	+	0.946444362	SAVERM_5479	P
5792409	+	2.537343194	SAVERM_4749	P
8356305	+	5.129013164	SAVERM_6994	P
7008394	+	91.8093252	SAVERM_5801	P
6776109	+	10.24559898	SAVERM_5601	P
