primary 3' end position,Gene strand
1252092,-
1254575,+
1256345,-
1257356,-
1264620,+
1268672,-
1274976,+
1282025,+
1283119,-
1287876,+
1287914,-
1290780,-
1297113,+
1301060,+
1301030,-
1303220,-
1304777,-
1306072,-
1306517,-
1308954,+
1319113,+
1322018,+
1324672,+
1324641,-
1327958,+
1332766,-
1334885,+
1337243,-
1337804,-
1341194,-
1344465,-
1363039,+
1364298,+
1382561,+
1382522,-
1391912,+
1391885,-
1392956,-
1429410,-
1431455,-
1436076,-
1476464,-
1482335,+
1483966,+
1485743,+
1486115,-
1492808,+
1493166,+
1497415,+
1499182,+
1512175,+
1514351,+
1546302,+
1548194,-
1550022,-
1563157,-
1564851,-
1575062,-
1622551,+
1623705,+
1631815,-
1635483,-
1638829,-
1639343,-
1642625,+
1643696,+
1651060,+
1652170,+
1658750,+
1659430,+
1660702,-
1667041,-
1669199,-
1673671,+
1680960,-
1684089,+
1685661,+
1690673,-
1691483,-
1697527,+
1709274,+
1709243,-
1710161,-
1714641,+
1714604,-
1718858,-
1722536,+
1727963,-
1730371,+
1733165,+
1736855,+
1736825,-
1739126,+
1739092,-
1741296,+
1749152,-
1751421,+
1751961,+
1751930,-
1764475,+
1778954,-
1783772,+
1789470,-
1789707,-
1793411,-
1793613,-
1793970,-
1794302,-
1794788,-
1799544,-
1801588,+
1802953,+
1802925,-
1806630,+
1816118,-
1817608,+
1819317,-
1827531,+
1835072,+
1839179,-
1844990,+
1846830,+
1855914,-
1858074,+
1859042,+
1859925,-
1863136,+
1868369,+
1871558,+
1873223,-
1882274,-
1884158,-
1888044,+
1888755,+
1888714,-
1890532,+
1892593,+
1899042,+
1899582,+
1901410,-
1901700,-
1902469,-
1902734,-
1903519,-
1905905,-
1906990,-
1909011,-
1916307,+
1917548,-
1924229,-
1926337,-
1928985,-
1933481,+
1933351,-
1934524,-
1941074,-
1941541,-
1945758,+
1952698,-
1956105,+
1971468,-
1973574,-
1980948,+
1982728,+
1982698,-
1984392,-
1989564,+
1993021,-
1995395,-
2001126,-
2003228,+
2018075,-
2018704,-
2021622,-
2030239,+
2051098,+
2055820,-
2068188,+
2072470,-
2079130,-
2081637,-
2083547,+
2090784,+
2090751,-
2093287,-
2165281,-
2166369,-
2167757,-
2168007,-
2168534,-
2169738,-
2170802,-
2180806,+
2186471,-
2189849,+
2205166,-
2217466,+
2226249,+
2230146,+
2232793,-
2238252,+
2240495,-
2259548,+
2263106,+
2264099,+
2276326,+
2276295,-
2284659,+
2305084,-
2310396,+
2330192,-
2333877,+
2342304,+
2343376,-
2347861,+
2350235,+
2355870,-
2357178,-
2358490,+
2374153,-
2376047,+
2383476,-
2394922,-
2397351,-
2399101,-
2402295,+
2404875,-
2406104,-
2408183,+
2410440,+
2412085,-
2415333,+
2416115,+
2424339,-
2426452,-
2430149,-
2433760,-
2437264,-
2442664,-
2449758,-
2454080,-
2456173,+
2457688,-
2463975,+
2490488,-
2501900,-
2507768,+
2512721,+
2512687,-
2523552,-
2525647,+
2526791,+
2529746,+
2529716,-
2531889,-
2537151,-
2542949,-
2543921,-
2548543,-
2558747,+
2569410,-
2576834,-
2591157,-
2594353,+
2611362,+
2613561,-
2616274,+
2620054,+
2624262,-
2625929,-
2629186,-
2630781,-
2633956,-
2634990,-
2637695,-
2646744,+
2647489,-
2648391,-
2649735,-
2652874,-
2657639,+
2677429,-
2680386,-
2684931,-
2695703,-
2697644,-
2702020,-
2702781,-
2709373,-
2710847,+
2710812,-
2712545,+
2717470,+
2717725,-
2724925,-
2730289,+
2730901,+
2731080,+
2737517,+
2737483,-
2737873,-
2739566,-
2743421,-
2747361,+
2747329,-
2748797,+
2750795,+
2754580,+
2789599,-
2791407,-
2793010,+
2793892,+
2804735,+
2807519,-
2808220,-
2812283,-
2812693,-
2816023,-
2821949,+
2835895,-
2847684,+
2853116,+
2859869,-
2865799,-
2899951,-
2901340,-
2915781,-
2921068,+
2922909,+
2924338,+
2925173,-
2933555,+
2933466,-
2936229,-
2938392,+
2957672,-
2964528,+
2964880,+
2966066,+
2971067,+
2980486,+
2992417,-
2997361,+
2997329,-
3003376,+
3017575,+
3026972,-
3029679,-
3033775,+
3035835,+
3038503,+
3039482,-
3042456,-
3044402,-
3049343,+
3049526,+
3050487,-
3051997,-
3054044,+
3060665,-
3062268,-
3063478,-
3064786,-
3065980,-
3072960,-
3077185,-
3081266,+
3083074,+
3086270,+
3093008,-
3094219,-
3095001,-
3097758,+
3100372,+
3114949,-
3129967,-
3133017,+
3133022,-
3133545,-
3142332,+
3142303,-
3147621,+
3149965,+
3150852,+
3156053,-
3159429,-
3162044,-
3162608,-
3166855,+
3166824,-
3170140,-
3172987,+
3174976,+
3177107,-
3178548,+
3185071,-
3202850,-
3204434,+
3208328,+
3210963,+
3227992,-
3231725,+
3235129,-
3239936,+
3243513,+
3243768,+
3246069,+
3246632,-
3248684,+
3253038,-
3253267,-
3256846,-
3259423,-
3263574,-
3270264,+
3271212,+
3290395,+
3293569,-
3299258,-
3301334,-
3302354,-
3304729,-
3306552,-
3313376,+
3315394,-
3316045,-
3318298,-
3321556,+
3321528,-
3323760,-
3326164,-
3326328,-
3328078,+
3328553,-
3330233,-
3338164,+
3341391,+
3342541,+
3343074,-
3354019,+
3362325,-
3364411,-
3365999,-
3369606,-
3371114,-
3371483,-
3373982,+
3375514,+
3376674,+
3376641,-
3378565,+
3379211,+
3379182,-
3383861,-
3393356,-
3397856,+
3400668,+
3403408,+
3404989,+
3416605,+
3423271,+
3425210,-
3427646,+
3428558,+
3431285,+
3431857,+
3432932,-
3433385,-
3434355,-
3434896,-
3435439,-
3435914,-
3435911,-
3438456,-
3438914,-
3439365,-
3439847,-
3440143,-
3440668,-
3440982,-
3441619,-
3442361,-
3443160,-
3445621,-
3459577,-
3463452,-
3464704,-
3466814,-
3467439,-
3467952,-
3469929,-
3471252,+
3471222,-
3477850,+
3478757,+
3478726,-
3480153,+
3485048,-
3505822,-
3509332,-
3524049,+
3527875,+
3530697,+
3533191,+
3539615,+
3541339,+
3541241,-
3543274,-
3553115,-
3556922,+
3557451,-
3567094,-
3573077,-
3580827,+
3593241,-
3594332,-
3598518,-
3599826,+
3603924,+
3612396,+
3633955,+
3635737,+
3635704,-
3636443,-
3641051,+
3647931,+
3649271,-
3649678,-
3650981,+
3656937,+
3659534,-
3661110,-
3673805,+
3673718,-
3675421,-
3702053,-
3710607,+
3711624,-
3713179,+
3713675,+
3715646,-
3722746,-
3734465,+
3767724,+
3768967,+
3770519,+
3775053,-
3775942,-
3776962,-
3780276,+
3783647,-
3786111,-
3788421,+
3804562,-
3804640,-
3805093,-
3807805,+
3808483,+
3809162,-
3810966,+
3812901,+
3815874,+
3825569,+
3839121,+
3844111,-
3846191,-
3848887,-
3857926,-
3859786,-
3861434,+
3869455,-
3870901,-
3874523,-
3877901,+
3878331,+
3880132,+
3881599,+
3881970,+
3883548,+
3884881,+
3888618,+
3888579,-
3892024,+
3905165,-
3907075,-
3908862,-
3911640,-
3913120,-
3913659,-
3914148,-
3916285,-
3919239,-
3930638,+
3931746,+
3941811,+
3943835,+
3952859,-
3956058,-
3959502,+
3961082,+
3963479,+
3975725,+
3979960,-
3983030,-
3991321,+
3995777,+
4004445,+
4010594,+
4015647,+
4016901,+
4020701,+
4025960,+
4035859,+
4037451,+
4043368,+
4045340,+
4049879,-
4053601,+
4069568,+
4070432,+
4070841,+
4071833,+
4073618,-
4074512,-
4076042,-
4080255,+
4093476,+
4093433,-
4100631,-
4102765,+
4103724,+
4103526,-
4104450,-
4105571,-
4107099,-
4108771,+
4108743,-
4110291,-
4112245,-
4117195,+
4117838,-
4125989,+
4127823,-
4138293,-
4140330,-
4149273,-
4152194,+
4155501,+
4163974,-
4167115,+
4168290,+
4169562,+
4170440,+
4170923,+
4175251,+
4179549,+
4190533,+
4194491,-
4208499,+
4217498,+
4219303,-
4225524,+
4226170,+
4230662,-
4232459,-
4235022,-
4239419,+
4240461,+
4243852,+
4243821,-
4247694,+
4249411,+
4253141,-
4260087,+
4260974,+
4260945,-
4264685,+
4269804,+
4271640,+
4279158,+
4286997,-
4300873,-
4301881,-
4321933,+
4325454,-
4335456,-
4337180,-
4342305,+
4342969,-
4346247,-
4348451,-
4350111,-
4355255,-
4356655,-
4362547,+
4363117,+
4366118,+
4366882,-
4368778,-
4375196,+
4382133,+
4390145,+
4390467,+
4394183,+
4395895,+
4399869,+
4405774,-
4406195,-
4414297,+
4415365,+
4415711,+
4416424,+
4417833,-
4419413,+
4424376,-
4427358,+
4429677,+
4438086,+
4438885,-
4444394,-
4447086,+
4449252,+
4449718,+
4450281,-
4452827,-
4454545,-
4460307,-
4465171,+
4467112,+
4468851,+
4470749,-
4478258,+
4484971,-
4487785,+
4496260,+
4533526,+
4542673,+
4544239,+
4545210,+
4569847,-
4577683,-
4578914,-
4589464,-
4600860,+
4608012,+
4610676,+
4611482,+
4618512,-
4622562,+
4624350,+
4624203,-
4629357,-
4366552,+
17007,+
186346,+
883431,-
1264543,-
1264846,+
1265380,+
1265917,+
1486115,-
1486432,+
1758965,-
1917594,+
1917361,-
2146935,+
2147263,+
2160682,+
2306656,+
2684514,-
2808239,+
2936261,+
2969460,-
2969662,-
3050350,+
3188079,-
3344057,+
3574282,-
3658329,+
3693257,-
3693562,+
3979999,+
4044641,+
4148207,-
4267854,-
3248571,-
3251595,-
4096315,+
1483934,-
2470076,+
769830,+
1047735,+
1903560,+
1980910,-
3769358,-
4602162,+
74081,+
502744,+
1036038,+
1303249,+
1485699,-
1511296,-
1617061,+
1731679,-
2584071,-
2727511,-
3188455,-
3641013,-
3846476,-
3847053,+
4517929,+
4569729,+
74080,+
308758,-
1873253,+
1873253,+
2490518,+
4046782,-
2693418,-
4180250,-
3398069,+
1617073,-
1403508,+
4457393,+
3651345,-
848301,-
3641507,+
3641738,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,-
,+
,+
,-
,-
,+
,+
,-
,-
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,-
,-
,+
,+
,+
,-
,+
,+
,-
,+
,+
,-
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,+
,-
,+
,-
,+
,-
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,+
,+
,-
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,+
,+
,Gene strand
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,+
,-
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,+
,+
,-
,-
,+
,+
,+
,+
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,+
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,-
,-
,+
,+
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,-
,-
,+
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,-
,+
,-
,+
,-
,-
,-
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,-
,-
,+
,+
,+
,+
,-
,-
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,+
,+
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,+
,-
,+
,-
,+
,+
,-
,-
,-
,-
,-
,-
,+
,-
,+
,-
,+
,+
,+
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,-
,+
,-
,+
,+
,-
,+
,-
,-
,+
,+
,-
,-
,-
,-
,-
,+
,+
,+
,+
,-
,+
,-
,+
,-
,-
,-
,-
,+
,+
,+
,-
,+
,-
,-
,-
,-
,-
,-
,+
,+
,+
,-
,+
,+
,+
,+
,+
,+
,+
,-
,-
,-
,-
,-
,+
,+
,-
,-
,-
,-
